qid,instruction_type,run,first_hit_step,duration,event_observed
./cnn/stories/1b5174e9a4a2c77cb677d87ebcc8a3098ddc608a.story,formality,2,1,3,0
./cnn/stories/1b5174e9a4a2c77cb677d87ebcc8a3098ddc608a.story,paraphrase,0,1,3,0
./cnn/stories/1b5174e9a4a2c77cb677d87ebcc8a3098ddc608a.story,paraphrase,1,1,3,0
./cnn/stories/1b5174e9a4a2c77cb677d87ebcc8a3098ddc608a.story,paraphrase,2,1,2,1
./cnn/stories/1b5174e9a4a2c77cb677d87ebcc8a3098ddc608a.story,shorten,0,1,3,0
./cnn/stories/1b5174e9a4a2c77cb677d87ebcc8a3098ddc608a.story,shorten,1,1,3,0
./cnn/stories/1b5174e9a4a2c77cb677d87ebcc8a3098ddc608a.story,shorten,2,1,3,0
./cnn/stories/207224ddaeb57ae77f91cd645f70a1a67485ff53.story,elaborate,0,1,3,0
./cnn/stories/207224ddaeb57ae77f91cd645f70a1a67485ff53.story,elaborate,2,1,3,0
./cnn/stories/207224ddaeb57ae77f91cd645f70a1a67485ff53.story,formality,0,1,3,0
./cnn/stories/207224ddaeb57ae77f91cd645f70a1a67485ff53.story,formality,1,1,3,0
./cnn/stories/207224ddaeb57ae77f91cd645f70a1a67485ff53.story,formality,2,1,3,0
./cnn/stories/207224ddaeb57ae77f91cd645f70a1a67485ff53.story,paraphrase,0,1,3,0
./cnn/stories/207224ddaeb57ae77f91cd645f70a1a67485ff53.story,paraphrase,1,1,3,0
./cnn/stories/207224ddaeb57ae77f91cd645f70a1a67485ff53.story,paraphrase,2,1,3,0
./cnn/stories/207224ddaeb57ae77f91cd645f70a1a67485ff53.story,shorten,0,1,3,0
./cnn/stories/207224ddaeb57ae77f91cd645f70a1a67485ff53.story,shorten,1,1,3,0
./cnn/stories/207224ddaeb57ae77f91cd645f70a1a67485ff53.story,shorten,2,1,3,0
./cnn/stories/25e6c5901ffbaed729fb8a40f1511d9770b38691.story,elaborate,0,1,3,0
./cnn/stories/25e6c5901ffbaed729fb8a40f1511d9770b38691.story,elaborate,1,1,1,1
./cnn/stories/25e6c5901ffbaed729fb8a40f1511d9770b38691.story,formality,0,1,3,0
./cnn/stories/25e6c5901ffbaed729fb8a40f1511d9770b38691.story,formality,1,1,3,0
./cnn/stories/25e6c5901ffbaed729fb8a40f1511d9770b38691.story,formality,2,1,3,0
./cnn/stories/25e6c5901ffbaed729fb8a40f1511d9770b38691.story,paraphrase,0,1,3,0
./cnn/stories/25e6c5901ffbaed729fb8a40f1511d9770b38691.story,paraphrase,1,1,3,0
./cnn/stories/25e6c5901ffbaed729fb8a40f1511d9770b38691.story,paraphrase,2,1,3,0
./cnn/stories/25e6c5901ffbaed729fb8a40f1511d9770b38691.story,shorten,0,1,3,0
./cnn/stories/25e6c5901ffbaed729fb8a40f1511d9770b38691.story,shorten,1,1,3,0
./cnn/stories/25e6c5901ffbaed729fb8a40f1511d9770b38691.story,shorten,2,1,3,0
./cnn/stories/280c6cd98b93cfbfcedd1d8961432f5ed819d334.story,elaborate,0,1,1,1
./cnn/stories/280c6cd98b93cfbfcedd1d8961432f5ed819d334.story,elaborate,1,1,3,0
./cnn/stories/280c6cd98b93cfbfcedd1d8961432f5ed819d334.story,elaborate,2,1,1,1
./cnn/stories/280c6cd98b93cfbfcedd1d8961432f5ed819d334.story,formality,1,2,1,1
./cnn/stories/280c6cd98b93cfbfcedd1d8961432f5ed819d334.story,paraphrase,1,1,1,1
./cnn/stories/280c6cd98b93cfbfcedd1d8961432f5ed819d334.story,paraphrase,2,3,1,0
./cnn/stories/2e375608e5d19dae176bd9203c6120997ac6c167.story,paraphrase,1,1,1,1
./cnn/stories/39088d700fcb5cd7d4763809578ed8a9c0267132.story,elaborate,0,1,2,1
./cnn/stories/39088d700fcb5cd7d4763809578ed8a9c0267132.story,elaborate,2,1,3,0
./cnn/stories/39088d700fcb5cd7d4763809578ed8a9c0267132.story,formality,1,1,1,1
./cnn/stories/39088d700fcb5cd7d4763809578ed8a9c0267132.story,paraphrase,0,1,1,1
./cnn/stories/39088d700fcb5cd7d4763809578ed8a9c0267132.story,paraphrase,1,1,1,1
./cnn/stories/39088d700fcb5cd7d4763809578ed8a9c0267132.story,shorten,0,1,3,0
./cnn/stories/4c4b37d29f2eeefef8b626dd9d6c7cf73c8a0280.story,elaborate,0,1,1,1
./cnn/stories/4c4b37d29f2eeefef8b626dd9d6c7cf73c8a0280.story,elaborate,1,1,3,0
./cnn/stories/4c4b37d29f2eeefef8b626dd9d6c7cf73c8a0280.story,formality,0,1,3,0
./cnn/stories/4c4b37d29f2eeefef8b626dd9d6c7cf73c8a0280.story,formality,1,1,3,0
./cnn/stories/4c4b37d29f2eeefef8b626dd9d6c7cf73c8a0280.story,formality,2,1,3,0
./cnn/stories/4c4b37d29f2eeefef8b626dd9d6c7cf73c8a0280.story,paraphrase,1,1,3,0
./cnn/stories/4c4b37d29f2eeefef8b626dd9d6c7cf73c8a0280.story,paraphrase,2,1,3,0
./cnn/stories/4c4b37d29f2eeefef8b626dd9d6c7cf73c8a0280.story,shorten,1,1,3,0
./cnn/stories/4c4b37d29f2eeefef8b626dd9d6c7cf73c8a0280.story,shorten,2,1,3,0
./cnn/stories/562a96b7a77931e60f0a96ee004c4314734326a3.story,elaborate,0,1,3,0
./cnn/stories/562a96b7a77931e60f0a96ee004c4314734326a3.story,elaborate,1,1,3,0
./cnn/stories/562a96b7a77931e60f0a96ee004c4314734326a3.story,elaborate,2,1,3,0
./cnn/stories/562a96b7a77931e60f0a96ee004c4314734326a3.story,formality,0,1,3,0
./cnn/stories/562a96b7a77931e60f0a96ee004c4314734326a3.story,formality,1,1,3,0
./cnn/stories/562a96b7a77931e60f0a96ee004c4314734326a3.story,formality,2,1,3,0
./cnn/stories/562a96b7a77931e60f0a96ee004c4314734326a3.story,paraphrase,0,1,3,0
./cnn/stories/562a96b7a77931e60f0a96ee004c4314734326a3.story,paraphrase,1,1,3,0
./cnn/stories/562a96b7a77931e60f0a96ee004c4314734326a3.story,paraphrase,2,1,3,0
./cnn/stories/562a96b7a77931e60f0a96ee004c4314734326a3.story,shorten,2,1,3,0
./cnn/stories/5852e143b34cc30e94aed29193fc2e1dce37b1b1.story,paraphrase,1,1,1,1
./cnn/stories/5a1090b00f7f66194f3b088e4d39bd410721a063.story,elaborate,0,1,2,1
./cnn/stories/5a1090b00f7f66194f3b088e4d39bd410721a063.story,elaborate,1,1,3,0
./cnn/stories/5a1090b00f7f66194f3b088e4d39bd410721a063.story,elaborate,2,1,3,0
./cnn/stories/5a1090b00f7f66194f3b088e4d39bd410721a063.story,paraphrase,0,3,1,0
./cnn/stories/5a1090b00f7f66194f3b088e4d39bd410721a063.story,paraphrase,1,2,2,0
./cnn/stories/5a1090b00f7f66194f3b088e4d39bd410721a063.story,paraphrase,2,1,1,1
./cnn/stories/5cf8443a13c37fe532b919082c70ec1f3dfdafff.story,paraphrase,1,1,3,0
./cnn/stories/5daa60b042064cbf85c889785daf8b4ceb3c3ec3.story,formality,0,1,3,0
./cnn/stories/5f83b5592ea2c43ac9857f6a21ed2d1d8be25f8c.story,elaborate,0,1,1,1
./cnn/stories/5f83b5592ea2c43ac9857f6a21ed2d1d8be25f8c.story,elaborate,2,1,1,1
./cnn/stories/5f83b5592ea2c43ac9857f6a21ed2d1d8be25f8c.story,formality,2,1,1,1
./cnn/stories/5f83b5592ea2c43ac9857f6a21ed2d1d8be25f8c.story,paraphrase,1,1,1,1
./cnn/stories/5f83b5592ea2c43ac9857f6a21ed2d1d8be25f8c.story,paraphrase,2,1,1,1
./cnn/stories/5f83b5592ea2c43ac9857f6a21ed2d1d8be25f8c.story,shorten,0,1,3,0
./cnn/stories/5f83b5592ea2c43ac9857f6a21ed2d1d8be25f8c.story,shorten,1,1,3,0
./cnn/stories/5f83b5592ea2c43ac9857f6a21ed2d1d8be25f8c.story,shorten,2,1,3,0
./cnn/stories/63f60ddf050d9f97a492c601b2dd1a23072a01f9.story,elaborate,0,1,3,0
./cnn/stories/63f60ddf050d9f97a492c601b2dd1a23072a01f9.story,elaborate,1,1,3,0
./cnn/stories/63f60ddf050d9f97a492c601b2dd1a23072a01f9.story,elaborate,2,1,3,0
./cnn/stories/63f60ddf050d9f97a492c601b2dd1a23072a01f9.story,formality,0,1,3,0
./cnn/stories/63f60ddf050d9f97a492c601b2dd1a23072a01f9.story,formality,1,1,3,0
./cnn/stories/63f60ddf050d9f97a492c601b2dd1a23072a01f9.story,formality,2,1,3,0
./cnn/stories/63f60ddf050d9f97a492c601b2dd1a23072a01f9.story,paraphrase,0,1,3,0
./cnn/stories/63f60ddf050d9f97a492c601b2dd1a23072a01f9.story,paraphrase,2,1,3,0
./cnn/stories/63f60ddf050d9f97a492c601b2dd1a23072a01f9.story,shorten,1,1,3,0
./cnn/stories/63f60ddf050d9f97a492c601b2dd1a23072a01f9.story,shorten,2,1,3,0
./cnn/stories/6796fd980df9880d76a6a5c73a2438124da56a45.story,formality,2,1,1,1
./cnn/stories/72f0c366e1f31b292d8fb0e9d8b9b1291955ce59.story,elaborate,0,1,3,0
./cnn/stories/72f0c366e1f31b292d8fb0e9d8b9b1291955ce59.story,elaborate,1,1,3,0
./cnn/stories/72f0c366e1f31b292d8fb0e9d8b9b1291955ce59.story,elaborate,2,1,3,0
./cnn/stories/72f0c366e1f31b292d8fb0e9d8b9b1291955ce59.story,formality,0,1,3,0
./cnn/stories/72f0c366e1f31b292d8fb0e9d8b9b1291955ce59.story,formality,1,1,3,0
./cnn/stories/72f0c366e1f31b292d8fb0e9d8b9b1291955ce59.story,formality,2,1,3,0
./cnn/stories/72f0c366e1f31b292d8fb0e9d8b9b1291955ce59.story,paraphrase,0,1,3,0
./cnn/stories/72f0c366e1f31b292d8fb0e9d8b9b1291955ce59.story,paraphrase,1,1,3,0
./cnn/stories/72f0c366e1f31b292d8fb0e9d8b9b1291955ce59.story,paraphrase,2,1,3,0
./cnn/stories/72f0c366e1f31b292d8fb0e9d8b9b1291955ce59.story,shorten,0,1,2,1
./cnn/stories/72f0c366e1f31b292d8fb0e9d8b9b1291955ce59.story,shorten,1,1,3,0
./cnn/stories/72f0c366e1f31b292d8fb0e9d8b9b1291955ce59.story,shorten,2,1,3,0
./cnn/stories/73cb3690e5352c1c47c96ee1b2086692c4915a7c.story,elaborate,0,3,1,0
./cnn/stories/73cb3690e5352c1c47c96ee1b2086692c4915a7c.story,elaborate,1,1,1,1
./cnn/stories/73cb3690e5352c1c47c96ee1b2086692c4915a7c.story,elaborate,2,1,3,0
./cnn/stories/73cb3690e5352c1c47c96ee1b2086692c4915a7c.story,formality,0,1,1,1
./cnn/stories/73cb3690e5352c1c47c96ee1b2086692c4915a7c.story,paraphrase,1,1,3,0
./cnn/stories/73cb3690e5352c1c47c96ee1b2086692c4915a7c.story,paraphrase,2,1,2,1
./cnn/stories/73cb3690e5352c1c47c96ee1b2086692c4915a7c.story,shorten,1,1,3,0
./cnn/stories/73cb3690e5352c1c47c96ee1b2086692c4915a7c.story,shorten,2,1,2,1
./cnn/stories/755c8b39393f5a39bd32253ceda74f2af8186ad0.story,formality,2,1,1,1
./cnn/stories/755c8b39393f5a39bd32253ceda74f2af8186ad0.story,paraphrase,1,2,2,0
./cnn/stories/7843646a31a1ca87834dc4c72a092bf6c693baff.story,elaborate,0,1,3,0
./cnn/stories/7843646a31a1ca87834dc4c72a092bf6c693baff.story,elaborate,1,1,3,0
./cnn/stories/7843646a31a1ca87834dc4c72a092bf6c693baff.story,elaborate,2,1,3,0
./cnn/stories/7843646a31a1ca87834dc4c72a092bf6c693baff.story,formality,0,1,3,0
./cnn/stories/7843646a31a1ca87834dc4c72a092bf6c693baff.story,formality,1,1,1,1
./cnn/stories/7843646a31a1ca87834dc4c72a092bf6c693baff.story,formality,2,1,3,0
./cnn/stories/7843646a31a1ca87834dc4c72a092bf6c693baff.story,paraphrase,0,1,3,0
./cnn/stories/7843646a31a1ca87834dc4c72a092bf6c693baff.story,paraphrase,1,1,3,0
./cnn/stories/7843646a31a1ca87834dc4c72a092bf6c693baff.story,paraphrase,2,1,3,0
./cnn/stories/7843646a31a1ca87834dc4c72a092bf6c693baff.story,shorten,0,2,2,0
./cnn/stories/7843646a31a1ca87834dc4c72a092bf6c693baff.story,shorten,1,1,3,0
./cnn/stories/7843646a31a1ca87834dc4c72a092bf6c693baff.story,shorten,2,1,3,0
./cnn/stories/7dc9cfe7708586e113394efe071db956490f4966.story,elaborate,0,1,3,0
./cnn/stories/7dc9cfe7708586e113394efe071db956490f4966.story,elaborate,1,1,3,0
./cnn/stories/7dc9cfe7708586e113394efe071db956490f4966.story,elaborate,2,1,3,0
./cnn/stories/7dc9cfe7708586e113394efe071db956490f4966.story,formality,0,1,3,0
./cnn/stories/7dc9cfe7708586e113394efe071db956490f4966.story,formality,1,1,3,0
./cnn/stories/7dc9cfe7708586e113394efe071db956490f4966.story,formality,2,1,3,0
./cnn/stories/7dc9cfe7708586e113394efe071db956490f4966.story,paraphrase,0,1,3,0
./cnn/stories/7dc9cfe7708586e113394efe071db956490f4966.story,paraphrase,1,1,3,0
./cnn/stories/7dc9cfe7708586e113394efe071db956490f4966.story,paraphrase,2,1,1,1
./cnn/stories/7dc9cfe7708586e113394efe071db956490f4966.story,shorten,1,1,1,1
./cnn/stories/7dc9cfe7708586e113394efe071db956490f4966.story,shorten,2,1,3,0
./cnn/stories/86adf9d9437db54b725934d30fea1d9997fd2138.story,elaborate,0,1,3,0
./cnn/stories/86adf9d9437db54b725934d30fea1d9997fd2138.story,elaborate,1,1,2,1
./cnn/stories/86adf9d9437db54b725934d30fea1d9997fd2138.story,elaborate,2,1,3,0
./cnn/stories/86adf9d9437db54b725934d30fea1d9997fd2138.story,formality,1,1,3,0
./cnn/stories/86adf9d9437db54b725934d30fea1d9997fd2138.story,formality,2,1,3,0
./cnn/stories/86adf9d9437db54b725934d30fea1d9997fd2138.story,paraphrase,0,1,3,0
./cnn/stories/86adf9d9437db54b725934d30fea1d9997fd2138.story,paraphrase,2,1,1,1
./cnn/stories/86adf9d9437db54b725934d30fea1d9997fd2138.story,shorten,0,1,1,1
./cnn/stories/86adf9d9437db54b725934d30fea1d9997fd2138.story,shorten,1,1,3,0
./cnn/stories/8bc3e81e5bacfc0baef15842b45764e30e88d000.story,elaborate,2,1,3,0
./cnn/stories/8bc3e81e5bacfc0baef15842b45764e30e88d000.story,formality,1,3,1,0
./cnn/stories/8bc3e81e5bacfc0baef15842b45764e30e88d000.story,paraphrase,2,3,1,0
./cnn/stories/8bc3e81e5bacfc0baef15842b45764e30e88d000.story,shorten,0,1,3,0
./cnn/stories/8bc3e81e5bacfc0baef15842b45764e30e88d000.story,shorten,1,1,3,0
./cnn/stories/8bc3e81e5bacfc0baef15842b45764e30e88d000.story,shorten,2,1,3,0
./cnn/stories/9a581fde5f136d02602abee1eb4c0c52924b7a99.story,formality,0,1,3,0
./cnn/stories/9a581fde5f136d02602abee1eb4c0c52924b7a99.story,formality,1,1,3,0
./cnn/stories/9a581fde5f136d02602abee1eb4c0c52924b7a99.story,formality,2,1,3,0
./cnn/stories/9a581fde5f136d02602abee1eb4c0c52924b7a99.story,paraphrase,0,1,3,0
./cnn/stories/9a581fde5f136d02602abee1eb4c0c52924b7a99.story,paraphrase,1,1,3,0
./cnn/stories/9a581fde5f136d02602abee1eb4c0c52924b7a99.story,paraphrase,2,1,2,1
./cnn/stories/9a581fde5f136d02602abee1eb4c0c52924b7a99.story,shorten,0,1,1,1
./cnn/stories/9a581fde5f136d02602abee1eb4c0c52924b7a99.story,shorten,2,1,1,1
./cnn/stories/a175918a73063a9f515ea29e512917497335e817.story,elaborate,0,1,1,1
./cnn/stories/a1c31aa7ad8a494c513ef78063bd9c3834e8fc41.story,elaborate,0,1,3,0
./cnn/stories/a1c31aa7ad8a494c513ef78063bd9c3834e8fc41.story,elaborate,1,1,3,0
./cnn/stories/a1c31aa7ad8a494c513ef78063bd9c3834e8fc41.story,elaborate,2,1,3,0
./cnn/stories/a1c31aa7ad8a494c513ef78063bd9c3834e8fc41.story,formality,0,1,3,0
./cnn/stories/a1c31aa7ad8a494c513ef78063bd9c3834e8fc41.story,formality,1,1,3,0
./cnn/stories/a1c31aa7ad8a494c513ef78063bd9c3834e8fc41.story,formality,2,1,3,0
./cnn/stories/a1c31aa7ad8a494c513ef78063bd9c3834e8fc41.story,paraphrase,0,1,2,1
./cnn/stories/a1c31aa7ad8a494c513ef78063bd9c3834e8fc41.story,paraphrase,1,1,3,0
./cnn/stories/a1c31aa7ad8a494c513ef78063bd9c3834e8fc41.story,paraphrase,2,1,3,0
./cnn/stories/a1c31aa7ad8a494c513ef78063bd9c3834e8fc41.story,shorten,0,1,3,0
./cnn/stories/a1c31aa7ad8a494c513ef78063bd9c3834e8fc41.story,shorten,1,1,3,0
./cnn/stories/a1c31aa7ad8a494c513ef78063bd9c3834e8fc41.story,shorten,2,1,3,0
./cnn/stories/abebde7e04ba6280371812bffd3f698a8f4de125.story,elaborate,0,2,2,0
./cnn/stories/abebde7e04ba6280371812bffd3f698a8f4de125.story,elaborate,2,1,1,1
./cnn/stories/abebde7e04ba6280371812bffd3f698a8f4de125.story,formality,0,1,2,1
./cnn/stories/abebde7e04ba6280371812bffd3f698a8f4de125.story,formality,1,1,1,1
./cnn/stories/abebde7e04ba6280371812bffd3f698a8f4de125.story,formality,2,3,1,0
./cnn/stories/abebde7e04ba6280371812bffd3f698a8f4de125.story,paraphrase,2,1,3,0
./cnn/stories/abebde7e04ba6280371812bffd3f698a8f4de125.story,shorten,1,1,1,1
./cnn/stories/b0036f56a07b266a1759bf500f52376eb606f696.story,elaborate,0,1,3,0
./cnn/stories/b0036f56a07b266a1759bf500f52376eb606f696.story,elaborate,1,1,3,0
./cnn/stories/b0036f56a07b266a1759bf500f52376eb606f696.story,elaborate,2,1,3,0
./cnn/stories/b0036f56a07b266a1759bf500f52376eb606f696.story,formality,0,1,3,0
./cnn/stories/b0036f56a07b266a1759bf500f52376eb606f696.story,formality,1,1,3,0
./cnn/stories/b0036f56a07b266a1759bf500f52376eb606f696.story,formality,2,1,1,1
./cnn/stories/b0036f56a07b266a1759bf500f52376eb606f696.story,paraphrase,0,1,3,0
./cnn/stories/b0036f56a07b266a1759bf500f52376eb606f696.story,paraphrase,1,1,3,0
./cnn/stories/b0036f56a07b266a1759bf500f52376eb606f696.story,paraphrase,2,1,3,0
./cnn/stories/b0036f56a07b266a1759bf500f52376eb606f696.story,shorten,0,1,2,1
./cnn/stories/b0036f56a07b266a1759bf500f52376eb606f696.story,shorten,2,1,2,1
./cnn/stories/b311d3d123093547a9aefcd48485e07d2d494bec.story,elaborate,1,1,3,0
./cnn/stories/b311d3d123093547a9aefcd48485e07d2d494bec.story,elaborate,2,1,3,0
./cnn/stories/b311d3d123093547a9aefcd48485e07d2d494bec.story,formality,0,3,1,0
./cnn/stories/b311d3d123093547a9aefcd48485e07d2d494bec.story,formality,1,3,1,0
./cnn/stories/b311d3d123093547a9aefcd48485e07d2d494bec.story,formality,2,1,1,1
./cnn/stories/b311d3d123093547a9aefcd48485e07d2d494bec.story,paraphrase,0,1,3,0
./cnn/stories/b311d3d123093547a9aefcd48485e07d2d494bec.story,paraphrase,1,3,1,0
./cnn/stories/b311d3d123093547a9aefcd48485e07d2d494bec.story,paraphrase,2,3,1,0
./cnn/stories/b311d3d123093547a9aefcd48485e07d2d494bec.story,shorten,0,1,3,0
./cnn/stories/b311d3d123093547a9aefcd48485e07d2d494bec.story,shorten,1,1,3,0
./cnn/stories/b311d3d123093547a9aefcd48485e07d2d494bec.story,shorten,2,1,3,0
./cnn/stories/bc8f85297fa51310468d8f3990e0f4bb07176ce8.story,elaborate,0,1,3,0
./cnn/stories/bc8f85297fa51310468d8f3990e0f4bb07176ce8.story,elaborate,1,1,3,0
./cnn/stories/bc8f85297fa51310468d8f3990e0f4bb07176ce8.story,elaborate,2,1,3,0
./cnn/stories/bc8f85297fa51310468d8f3990e0f4bb07176ce8.story,formality,0,2,1,1
./cnn/stories/bc8f85297fa51310468d8f3990e0f4bb07176ce8.story,formality,2,2,2,0
./cnn/stories/bc8f85297fa51310468d8f3990e0f4bb07176ce8.story,paraphrase,0,3,1,0
./cnn/stories/bc8f85297fa51310468d8f3990e0f4bb07176ce8.story,paraphrase,1,1,1,1
./cnn/stories/bc8f85297fa51310468d8f3990e0f4bb07176ce8.story,paraphrase,2,3,1,0
./cnn/stories/bc8f85297fa51310468d8f3990e0f4bb07176ce8.story,shorten,1,2,2,0
./cnn/stories/bc8f85297fa51310468d8f3990e0f4bb07176ce8.story,shorten,2,1,2,1
./cnn/stories/bebd46ad5d9b194bf2462b3903c94c0600d946c8.story,elaborate,0,1,3,0
./cnn/stories/bebd46ad5d9b194bf2462b3903c94c0600d946c8.story,elaborate,1,1,3,0
./cnn/stories/bebd46ad5d9b194bf2462b3903c94c0600d946c8.story,elaborate,2,1,3,0
./cnn/stories/bebd46ad5d9b194bf2462b3903c94c0600d946c8.story,formality,0,1,3,0
./cnn/stories/bebd46ad5d9b194bf2462b3903c94c0600d946c8.story,formality,1,1,2,1
./cnn/stories/bebd46ad5d9b194bf2462b3903c94c0600d946c8.story,formality,2,1,3,0
./cnn/stories/bebd46ad5d9b194bf2462b3903c94c0600d946c8.story,paraphrase,0,1,2,1
./cnn/stories/bebd46ad5d9b194bf2462b3903c94c0600d946c8.story,paraphrase,1,1,1,1
./cnn/stories/bebd46ad5d9b194bf2462b3903c94c0600d946c8.story,paraphrase,2,1,3,0
./cnn/stories/bebd46ad5d9b194bf2462b3903c94c0600d946c8.story,shorten,0,1,3,0
./cnn/stories/bebd46ad5d9b194bf2462b3903c94c0600d946c8.story,shorten,1,1,3,0
./cnn/stories/c601114f55cf470a012afece9ed26518ea695fe4.story,formality,0,1,1,1
./cnn/stories/c601114f55cf470a012afece9ed26518ea695fe4.story,paraphrase,2,1,3,0
./cnn/stories/c601114f55cf470a012afece9ed26518ea695fe4.story,shorten,0,1,3,0
./cnn/stories/c601114f55cf470a012afece9ed26518ea695fe4.story,shorten,1,3,1,0
./cnn/stories/cc420f3c4c9b3d1385f1e8a3d4049a67a518d3eb.story,elaborate,0,1,3,0
./cnn/stories/cc420f3c4c9b3d1385f1e8a3d4049a67a518d3eb.story,elaborate,1,1,3,0
./cnn/stories/cc420f3c4c9b3d1385f1e8a3d4049a67a518d3eb.story,elaborate,2,1,3,0
./cnn/stories/cc420f3c4c9b3d1385f1e8a3d4049a67a518d3eb.story,formality,0,2,2,0
