qid,instruction_type,run,step,fact,label
2hop__128342_375952,elaborate,0,1,Lyuberetsky District exists.,SURVIVED
2hop__128342_375952,elaborate,0,2,Lyuberetsky District exists.,SURVIVED
2hop__128342_375952,elaborate,0,3,Lyuberetsky District exists.,SURVIVED
2hop__128342_375952,elaborate,0,1,Lyuberetsky District is an administrative and municipal district.,SURVIVED
2hop__128342_375952,elaborate,0,2,Lyuberetsky District is an administrative and municipal district.,SURVIVED
2hop__128342_375952,elaborate,0,3,Lyuberetsky District is an administrative and municipal district.,SURVIVED
2hop__128342_375952,elaborate,0,1,Lyuberetsky District is one of the thirty-six in Moscow Oblast.,LOST
2hop__128342_375952,elaborate,0,2,Lyuberetsky District is one of the thirty-six in Moscow Oblast.,SURVIVED
2hop__128342_375952,elaborate,0,3,Lyuberetsky District is one of the thirty-six in Moscow Oblast.,SURVIVED
2hop__128342_375952,elaborate,0,1,Lyuberetsky District is an administrative and municipal district in Moscow Oblast.,SURVIVED
2hop__128342_375952,elaborate,0,2,Lyuberetsky District is an administrative and municipal district in Moscow Oblast.,SURVIVED
2hop__128342_375952,elaborate,0,3,Lyuberetsky District is an administrative and municipal district in Moscow Oblast.,SURVIVED
2hop__128342_375952,elaborate,0,1,It is located in the central part of the oblast.,LOST
2hop__128342_375952,elaborate,0,2,It is located in the central part of the oblast.,LOST
2hop__128342_375952,elaborate,0,3,It is located in the central part of the oblast.,LOST
2hop__128342_375952,elaborate,0,1,It is east of the federal city of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,2,It is east of the federal city of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,3,It is east of the federal city of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,1,The district has an area.,SURVIVED
2hop__128342_375952,elaborate,0,2,The district has an area.,SURVIVED
2hop__128342_375952,elaborate,0,3,The district has an area.,SURVIVED
2hop__128342_375952,elaborate,0,1,Its administrative center is the city of Lyubertsy.,SURVIVED
2hop__128342_375952,elaborate,0,2,Its administrative center is the city of Lyubertsy.,SURVIVED
2hop__128342_375952,elaborate,0,3,Its administrative center is the city of Lyubertsy.,SURVIVED
2hop__128342_375952,elaborate,0,1,"The population of Lyubertsy is 265,113.",SURVIVED
2hop__128342_375952,elaborate,0,2,"The population of Lyubertsy is 265,113.",SURVIVED
2hop__128342_375952,elaborate,0,3,"The population of Lyubertsy is 265,113.",LOST
2hop__128342_375952,elaborate,0,1,The population of Lyubertsy is 65.1% of the district's total population.,SURVIVED
2hop__128342_375952,elaborate,0,2,The population of Lyubertsy is 65.1% of the district's total population.,LOST
2hop__128342_375952,elaborate,0,3,The population of Lyubertsy is 65.1% of the district's total population.,LOST
2hop__128342_375952,elaborate,0,1,Sokolniki District is a district.,SURVIVED
2hop__128342_375952,elaborate,0,2,Sokolniki District is a district.,SURVIVED
2hop__128342_375952,elaborate,0,3,Sokolniki District is a district.,SURVIVED
2hop__128342_375952,elaborate,0,1,Sokolniki District is a district of the Eastern Administrative Okrug of the federal city of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,2,Sokolniki District is a district of the Eastern Administrative Okrug of the federal city of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,3,Sokolniki District is a district of the Eastern Administrative Okrug of the federal city of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,1,Sokolniki District is located in the north-east corner of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,2,Sokolniki District is located in the north-east corner of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,3,Sokolniki District is located in the north-east corner of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,1,Sokolniki District is a district of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,2,Sokolniki District is a district of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,3,Sokolniki District is a district of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,1,Sokolniki District is in the Eastern Administrative Okrug of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,2,Sokolniki District is in the Eastern Administrative Okrug of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,3,Sokolniki District is in the Eastern Administrative Okrug of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,1,Sokolniki District is a district of the federal city of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,2,Sokolniki District is a district of the federal city of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,3,Sokolniki District is a district of the federal city of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,1,Beryslav is a raion.,SURVIVED
2hop__128342_375952,elaborate,0,2,Beryslav is a raion.,SURVIVED
2hop__128342_375952,elaborate,0,3,Beryslav is a raion.,SURVIVED
2hop__128342_375952,elaborate,0,1,Beryslav Raion is a district.,SURVIVED
2hop__128342_375952,elaborate,0,2,Beryslav Raion is a district.,SURVIVED
2hop__128342_375952,elaborate,0,3,Beryslav Raion is a district.,SURVIVED
2hop__128342_375952,elaborate,0,1,Beryslav Raion is in Kherson Oblast.,SURVIVED
2hop__128342_375952,elaborate,0,2,Beryslav Raion is in Kherson Oblast.,SURVIVED
2hop__128342_375952,elaborate,0,3,Beryslav Raion is in Kherson Oblast.,SURVIVED
2hop__128342_375952,elaborate,0,1,Beryslav Raion is in southern Ukraine.,SURVIVED
2hop__128342_375952,elaborate,0,2,Beryslav Raion is in southern Ukraine.,SURVIVED
2hop__128342_375952,elaborate,0,3,Beryslav Raion is in southern Ukraine.,SURVIVED
2hop__128342_375952,elaborate,0,1,Beryslav is the administrative center.,SURVIVED
2hop__128342_375952,elaborate,0,2,Beryslav is the administrative center.,SURVIVED
2hop__128342_375952,elaborate,0,3,Beryslav is the administrative center.,SURVIVED
2hop__128342_375952,elaborate,0,1,"Its population was 55,976.",SURVIVED
2hop__128342_375952,elaborate,0,2,"Its population was 55,976.",SURVIVED
2hop__128342_375952,elaborate,0,3,"Its population was 55,976.",SURVIVED
2hop__128342_375952,elaborate,0,1,Current population:,LOST
2hop__128342_375952,elaborate,0,2,Current population:,LOST
2hop__128342_375952,elaborate,0,3,Current population:,LOST
2hop__128342_375952,elaborate,0,1,Minsk Region exists.,SURVIVED
2hop__128342_375952,elaborate,0,2,Minsk Region exists.,SURVIVED
2hop__128342_375952,elaborate,0,3,Minsk Region exists.,SURVIVED
2hop__128342_375952,elaborate,0,1,Minsk Region is a region of Belarus.,SURVIVED
2hop__128342_375952,elaborate,0,2,Minsk Region is a region of Belarus.,SURVIVED
2hop__128342_375952,elaborate,0,3,Minsk Region is a region of Belarus.,SURVIVED
2hop__128342_375952,elaborate,0,1,Minsk Voblasć is a region of Belarus.,SURVIVED
2hop__128342_375952,elaborate,0,2,Minsk Voblasć is a region of Belarus.,SURVIVED
2hop__128342_375952,elaborate,0,3,Minsk Voblasć is a region of Belarus.,SURVIVED
2hop__128342_375952,elaborate,0,1,Minsk Oblast is a region of Belarus.,SURVIVED
2hop__128342_375952,elaborate,0,2,Minsk Oblast is a region of Belarus.,LOST
2hop__128342_375952,elaborate,0,3,Minsk Oblast is a region of Belarus.,SURVIVED
2hop__128342_375952,elaborate,0,1,Minsk is the administrative center.,SURVIVED
2hop__128342_375952,elaborate,0,2,Minsk is the administrative center.,LOST
2hop__128342_375952,elaborate,0,3,Minsk is the administrative center.,LOST
2hop__128342_375952,elaborate,0,1,It is a separate administrative territorial entity.,SURVIVED
2hop__128342_375952,elaborate,0,2,It is a separate administrative territorial entity.,SURVIVED
2hop__128342_375952,elaborate,0,3,It is a separate administrative territorial entity.,SURVIVED
2hop__128342_375952,elaborate,0,1,It is in Belarus.,LOST
2hop__128342_375952,elaborate,0,2,It is in Belarus.,LOST
2hop__128342_375952,elaborate,0,3,It is in Belarus.,LOST
2hop__128342_375952,elaborate,0,1,"As of 2011, the region's population is 1,411,500.",SURVIVED
2hop__128342_375952,elaborate,0,2,"As of 2011, the region's population is 1,411,500.",SURVIVED
2hop__128342_375952,elaborate,0,3,"As of 2011, the region's population is 1,411,500.",SURVIVED
2hop__128342_375952,elaborate,0,1,Tumaraa is a word.,SURVIVED
2hop__128342_375952,elaborate,0,2,Tumaraa is a word.,LOST
2hop__128342_375952,elaborate,0,3,Tumaraa is a word.,LOST
2hop__128342_375952,elaborate,0,1,Tumaraa is a commune.,SURVIVED
2hop__128342_375952,elaborate,0,2,Tumaraa is a commune.,SURVIVED
2hop__128342_375952,elaborate,0,3,Tumaraa is a commune.,SURVIVED
2hop__128342_375952,elaborate,0,1,Tumaraa is in French Polynesia.,SURVIVED
2hop__128342_375952,elaborate,0,2,Tumaraa is in French Polynesia.,SURVIVED
2hop__128342_375952,elaborate,0,3,Tumaraa is in French Polynesia.,SURVIVED
2hop__128342_375952,elaborate,0,1,French Polynesia is an overseas territory of France.,SURVIVED
2hop__128342_375952,elaborate,0,2,French Polynesia is an overseas territory of France.,SURVIVED
2hop__128342_375952,elaborate,0,3,French Polynesia is an overseas territory of France.,SURVIVED
2hop__128342_375952,elaborate,0,1,French Polynesia is in the Pacific Ocean.,SURVIVED
2hop__128342_375952,elaborate,0,2,French Polynesia is in the Pacific Ocean.,SURVIVED
2hop__128342_375952,elaborate,0,3,French Polynesia is in the Pacific Ocean.,SURVIVED
2hop__128342_375952,elaborate,0,1,Raiatea is an island.,SURVIVED
2hop__128342_375952,elaborate,0,2,Raiatea is an island.,SURVIVED
2hop__128342_375952,elaborate,0,3,Raiatea is an island.,SURVIVED
2hop__128342_375952,elaborate,0,1,Raiatea is part of the Leeward Islands.,SURVIVED
2hop__128342_375952,elaborate,0,2,Raiatea is part of the Leeward Islands.,SURVIVED
2hop__128342_375952,elaborate,0,3,Raiatea is part of the Leeward Islands.,SURVIVED
2hop__128342_375952,elaborate,0,1,The Leeward Islands are part of the Society Islands.,SURVIVED
2hop__128342_375952,elaborate,0,2,The Leeward Islands are part of the Society Islands.,SURVIVED
2hop__128342_375952,elaborate,0,3,The Leeward Islands are part of the Society Islands.,LOST
2hop__128342_375952,elaborate,0,1,The Society Islands are an administrative subdivision.,LOST
2hop__128342_375952,elaborate,0,2,The Society Islands are an administrative subdivision.,LOST
2hop__128342_375952,elaborate,0,3,The Society Islands are an administrative subdivision.,LOST
2hop__128342_375952,elaborate,0,1,"At the 2017 census, it had a population of 3,721.",SURVIVED
2hop__128342_375952,elaborate,0,2,"At the 2017 census, it had a population of 3,721.",SURVIVED
2hop__128342_375952,elaborate,0,3,"At the 2017 census, it had a population of 3,721.",SURVIVED
2hop__128342_375952,elaborate,0,1,It is the least populous commune on Raiatea.,SURVIVED
2hop__128342_375952,elaborate,0,2,It is the least populous commune on Raiatea.,SURVIVED
2hop__128342_375952,elaborate,0,3,It is the least populous commune on Raiatea.,SURVIVED
2hop__128342_375952,elaborate,0,1,Sikyona is a place.,SURVIVED
2hop__128342_375952,elaborate,0,2,Sikyona is a place.,SURVIVED
2hop__128342_375952,elaborate,0,3,Sikyona is a place.,SURVIVED
2hop__128342_375952,elaborate,0,1,Sikyona is a municipality.,SURVIVED
2hop__128342_375952,elaborate,0,2,Sikyona is a municipality.,SURVIVED
2hop__128342_375952,elaborate,0,3,Sikyona is a municipality.,SURVIVED
2hop__128342_375952,elaborate,0,1,Sikyona is in Corinthia.,SURVIVED
2hop__128342_375952,elaborate,0,2,Sikyona is in Corinthia.,SURVIVED
2hop__128342_375952,elaborate,0,3,Sikyona is in Corinthia.,SURVIVED
2hop__128342_375952,elaborate,0,1,Sikyona is in Greece.,SURVIVED
2hop__128342_375952,elaborate,0,2,Sikyona is in Greece.,SURVIVED
2hop__128342_375952,elaborate,0,3,Sikyona is in Greece.,SURVIVED
2hop__128342_375952,elaborate,0,1,The municipality has a seat in Kiato.,SURVIVED
2hop__128342_375952,elaborate,0,2,The municipality has a seat in Kiato.,SURVIVED
2hop__128342_375952,elaborate,0,3,The municipality has a seat in Kiato.,SURVIVED
2hop__128342_375952,elaborate,0,1,Sikyona takes its name from Sicyon.,SURVIVED
2hop__128342_375952,elaborate,0,2,Sikyona takes its name from Sicyon.,SURVIVED
2hop__128342_375952,elaborate,0,3,Sikyona takes its name from Sicyon.,SURVIVED
2hop__128342_375952,elaborate,0,1,Sicyon was located in the same territory as Sikyona.,SURVIVED
2hop__128342_375952,elaborate,0,2,Sicyon was located in the same territory as Sikyona.,SURVIVED
2hop__128342_375952,elaborate,0,3,Sicyon was located in the same territory as Sikyona.,SURVIVED
2hop__128342_375952,elaborate,0,1,Yaroslavl is a place.,SURVIVED
2hop__128342_375952,elaborate,0,2,Yaroslavl is a place.,SURVIVED
2hop__128342_375952,elaborate,0,3,Yaroslavl is a place.,SURVIVED
2hop__128342_375952,elaborate,0,1,Yaroslavl is a city.,SURVIVED
2hop__128342_375952,elaborate,0,2,Yaroslavl is a city.,SURVIVED
2hop__128342_375952,elaborate,0,3,Yaroslavl is a city.,SURVIVED
2hop__128342_375952,elaborate,0,1,Yaroslavl is the administrative center of Yaroslavl Oblast.,SURVIVED
2hop__128342_375952,elaborate,0,2,Yaroslavl is the administrative center of Yaroslavl Oblast.,SURVIVED
2hop__128342_375952,elaborate,0,3,Yaroslavl is the administrative center of Yaroslavl Oblast.,SURVIVED
2hop__128342_375952,elaborate,0,1,Yaroslavl is located northeast of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,2,Yaroslavl is located northeast of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,3,Yaroslavl is located northeast of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,1,The historic part of the city is a World Heritage Site.,SURVIVED
2hop__128342_375952,elaborate,0,2,The historic part of the city is a World Heritage Site.,SURVIVED
2hop__128342_375952,elaborate,0,3,The historic part of the city is a World Heritage Site.,SURVIVED
2hop__128342_375952,elaborate,0,1,The historic part of the city is located at the confluence of the Volga and the Kotorosl Rivers.,SURVIVED
2hop__128342_375952,elaborate,0,2,The historic part of the city is located at the confluence of the Volga and the Kotorosl Rivers.,SURVIVED
2hop__128342_375952,elaborate,0,3,The historic part of the city is located at the confluence of the Volga and the Kotorosl Rivers.,LOST
2hop__128342_375952,elaborate,0,1,It is one of the Golden Ring cities.,SURVIVED
2hop__128342_375952,elaborate,0,2,It is one of the Golden Ring cities.,SURVIVED
2hop__128342_375952,elaborate,0,3,It is one of the Golden Ring cities.,SURVIVED
2hop__128342_375952,elaborate,0,1,It is a group of historic cities.,LOST
2hop__128342_375952,elaborate,0,2,It is a group of historic cities.,LOST
2hop__128342_375952,elaborate,0,3,It is a group of historic cities.,LOST
2hop__128342_375952,elaborate,0,1,It is northeast of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,2,It is northeast of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,3,It is northeast of Moscow.,SURVIVED
2hop__128342_375952,elaborate,0,1,It has played an important role in Russian history.,SURVIVED
2hop__128342_375952,elaborate,0,2,It has played an important role in Russian history.,SURVIVED
2hop__128342_375952,elaborate,0,3,It has played an important role in Russian history.,SURVIVED
2hop__128342_375952,elaborate,0,1,"The city had a population of 591,486 in 2010.",SURVIVED
2hop__128342_375952,elaborate,0,2,"The city had a population of 591,486 in 2010.",SURVIVED
2hop__128342_375952,elaborate,0,3,"The city had a population of 591,486 in 2010.",SURVIVED
2hop__128342_375952,elaborate,0,1,Shire of Taringa exists.,LOST
2hop__128342_375952,elaborate,0,2,Shire of Taringa exists.,LOST
2hop__128342_375952,elaborate,0,3,Shire of Taringa exists.,LOST
2hop__128342_375952,elaborate,0,1,"The Shire of Taringa is a former local government area of Queensland, Australia.",SURVIVED
2hop__128342_375952,elaborate,0,2,"The Shire of Taringa is a former local government area of Queensland, Australia.",SURVIVED
2hop__128342_375952,elaborate,0,3,"The Shire of Taringa is a former local government area of Queensland, Australia.",SURVIVED
2hop__128342_375952,elaborate,0,1,The Shire of Taringa is located in western Brisbane.,SURVIVED
2hop__128342_375952,elaborate,0,2,The Shire of Taringa is located in western Brisbane.,SURVIVED
2hop__128342_375952,elaborate,0,3,The Shire of Taringa is located in western Brisbane.,SURVIVED
2hop__128342_375952,elaborate,0,1,Taringa is a suburb of City of Brisbane.,SURVIVED
2hop__128342_375952,elaborate,0,2,Taringa is a suburb of City of Brisbane.,SURVIVED
2hop__128342_375952,elaborate,0,3,Taringa is a suburb of City of Brisbane.,SURVIVED
2hop__128342_375952,elaborate,0,1,It existed.,SURVIVED
2hop__128342_375952,elaborate,0,2,It existed.,LOST
2hop__128342_375952,elaborate,0,3,It existed.,SURVIVED
2hop__128342_375952,elaborate,0,1,Benghazi is a place.,SURVIVED
2hop__128342_375952,elaborate,0,2,Benghazi is a place.,SURVIVED
2hop__128342_375952,elaborate,0,3,Benghazi is a place.,LOST
2hop__128342_375952,elaborate,0,1,Benghazi al- Jadida is a Basic People's Congress administrative division.,SURVIVED
2hop__128342_375952,elaborate,0,2,Benghazi al- Jadida is a Basic People's Congress administrative division.,SURVIVED
2hop__128342_375952,elaborate,0,3,Benghazi al- Jadida is a Basic People's Congress administrative division.,LOST
2hop__128342_375952,elaborate,0,1,Benghazi is a Basic People's Congress administrative division.,SURVIVED
2hop__128342_375952,elaborate,0,2,Benghazi is a Basic People's Congress administrative division.,SURVIVED
2hop__128342_375952,elaborate,0,3,Benghazi is a Basic People's Congress administrative division.,LOST
2hop__128342_375952,elaborate,0,1,Benghazi is in Libya.,SURVIVED
2hop__128342_375952,elaborate,0,2,Benghazi is in Libya.,SURVIVED
2hop__128342_375952,elaborate,0,3,Benghazi is in Libya.,LOST
2hop__128342_375952,elaborate,0,1,It is part of the city of Benghazi.,SURVIVED
2hop__128342_375952,elaborate,0,2,It is part of the city of Benghazi.,SURVIVED
2hop__128342_375952,elaborate,0,3,It is part of the city of Benghazi.,LOST
2hop__128342_375952,elaborate,0,1,It is located east of the port.,SURVIVED
2hop__128342_375952,elaborate,0,2,It is located east of the port.,SURVIVED
2hop__128342_375952,elaborate,0,3,It is located east of the port.,LOST
2hop__128342_375952,elaborate,0,1,It is located west of Al- Hawari.,SURVIVED
2hop__128342_375952,elaborate,0,2,It is located west of Al- Hawari.,SURVIVED
2hop__128342_375952,elaborate,0,3,It is located west of Al- Hawari.,LOST
2hop__128342_375952,elaborate,0,1,Forlanini is a district of Milan.,SURVIVED
2hop__128342_375952,elaborate,0,2,Forlanini is a district of Milan.,SURVIVED
2hop__128342_375952,elaborate,0,3,Forlanini is a district of Milan.,LOST
2hop__128342_375952,elaborate,0,1,Forlanini is a district.,SURVIVED
2hop__128342_375952,elaborate,0,2,Forlanini is a district.,SURVIVED
2hop__128342_375952,elaborate,0,3,Forlanini is a district.,LOST
2hop__128342_375952,elaborate,0,1,Forlanini is a quartiere.,SURVIVED
2hop__128342_375952,elaborate,0,2,Forlanini is a quartiere.,SURVIVED
2hop__128342_375952,elaborate,0,3,Forlanini is a quartiere.,LOST
2hop__128342_375952,elaborate,0,1,Forlanini is in Milan.,SURVIVED
2hop__128342_375952,elaborate,0,2,Forlanini is in Milan.,SURVIVED
2hop__128342_375952,elaborate,0,3,Forlanini is in Milan.,LOST
2hop__128342_375952,elaborate,0,1,Forlanini is in Italy.,SURVIVED
2hop__128342_375952,elaborate,0,2,Forlanini is in Italy.,SURVIVED
2hop__128342_375952,elaborate,0,3,Forlanini is in Italy.,LOST
2hop__128342_375952,elaborate,0,1,It is part of the Zone 4 administrative division.,LOST
2hop__128342_375952,elaborate,0,2,It is part of the Zone 4 administrative division.,SURVIVED
2hop__128342_375952,elaborate,0,3,It is part of the Zone 4 administrative division.,LOST
2hop__128342_375952,elaborate,0,1,It is located east of the city centre.,SURVIVED
2hop__128342_375952,elaborate,0,2,It is located east of the city centre.,SURVIVED
2hop__128342_375952,elaborate,0,3,It is located east of the city centre.,LOST
2hop__128342_375952,elaborate,0,1,Irkutsky District exists.,SURVIVED
2hop__128342_375952,elaborate,0,2,Irkutsky District exists.,LOST
2hop__128342_375952,elaborate,0,3,Irkutsky District exists.,LOST
2hop__128342_375952,elaborate,0,1,Irkutsky District is an administrative district.,SURVIVED
2hop__128342_375952,elaborate,0,2,Irkutsky District is an administrative district.,LOST
2hop__128342_375952,elaborate,0,3,Irkutsky District is an administrative district.,LOST
2hop__128342_375952,elaborate,0,1,Irkutsky District is one of the thirty-three in Irkutsk Oblast.,LOST
2hop__128342_375952,elaborate,0,2,Irkutsky District is one of the thirty-three in Irkutsk Oblast.,LOST
2hop__128342_375952,elaborate,0,3,Irkutsky District is one of the thirty-three in Irkutsk Oblast.,LOST
2hop__128342_375952,elaborate,0,1,Irkutsky District is in Russia.,SURVIVED
2hop__128342_375952,elaborate,0,2,Irkutsky District is in Russia.,LOST
2hop__128342_375952,elaborate,0,3,Irkutsky District is in Russia.,LOST
2hop__128342_375952,elaborate,0,1,It is incorporated as Irkutsky Municipal District.,LOST
2hop__128342_375952,elaborate,0,2,It is incorporated as Irkutsky Municipal District.,LOST
2hop__128342_375952,elaborate,0,3,It is incorporated as Irkutsky Municipal District.,LOST
2hop__128342_375952,elaborate,0,1,It is located in the oblast.,LOST
2hop__128342_375952,elaborate,0,2,It is located in the oblast.,SURVIVED
2hop__128342_375952,elaborate,0,3,It is located in the oblast.,LOST
2hop__128342_375952,elaborate,0,1,Its administrative center is the city of Irkutsk.,LOST
2hop__128342_375952,elaborate,0,2,Its administrative center is the city of Irkutsk.,LOST
2hop__128342_375952,elaborate,0,3,Its administrative center is the city of Irkutsk.,LOST
2hop__128342_375952,elaborate,0,1,The city of Irkutsk is not administratively a part of the district.,SURVIVED
2hop__128342_375952,elaborate,0,2,The city of Irkutsk is not administratively a part of the district.,SURVIVED
2hop__128342_375952,elaborate,0,3,The city of Irkutsk is not administratively a part of the district.,LOST
2hop__128342_375952,elaborate,0,1,"As of the 2010 Census, the total population of the district was 84,322.",LOST
2hop__128342_375952,elaborate,0,2,"As of the 2010 Census, the total population of the district was 84,322.",LOST
2hop__128342_375952,elaborate,0,3,"As of the 2010 Census, the total population of the district was 84,322.",LOST
2hop__128342_375952,elaborate,0,1,Gmina Tarnów is a place.,LOST
2hop__128342_375952,elaborate,0,2,Gmina Tarnów is a place.,LOST
2hop__128342_375952,elaborate,0,3,Gmina Tarnów is a place.,LOST
2hop__128342_375952,elaborate,0,1,Gmina Tarnów is a rural gmina.,LOST
2hop__128342_375952,elaborate,0,2,Gmina Tarnów is a rural gmina.,LOST
2hop__128342_375952,elaborate,0,3,Gmina Tarnów is a rural gmina.,LOST
2hop__128342_375952,elaborate,0,1,Gmina Tarnów is in Tarnów County.,LOST
2hop__128342_375952,elaborate,0,2,Gmina Tarnów is in Tarnów County.,LOST
2hop__128342_375952,elaborate,0,3,Gmina Tarnów is in Tarnów County.,LOST
2hop__128342_375952,elaborate,0,1,Gmina Tarnów is in Lesser Poland Voivodeship.,LOST
2hop__128342_375952,elaborate,0,2,Gmina Tarnów is in Lesser Poland Voivodeship.,LOST
2hop__128342_375952,elaborate,0,3,Gmina Tarnów is in Lesser Poland Voivodeship.,LOST
2hop__128342_375952,elaborate,0,1,Gmina Tarnów is in southern Poland.,LOST
2hop__128342_375952,elaborate,0,2,Gmina Tarnów is in southern Poland.,LOST
2hop__128342_375952,elaborate,0,3,Gmina Tarnów is in southern Poland.,LOST
2hop__128342_375952,elaborate,0,1,Its seat is the city of Tarnów.,LOST
2hop__128342_375952,elaborate,0,2,Its seat is the city of Tarnów.,LOST
2hop__128342_375952,elaborate,0,3,Its seat is the city of Tarnów.,LOST
2hop__128342_375952,elaborate,0,1,The city is not part of the territory of the gmina.,LOST
2hop__128342_375952,elaborate,0,2,The city is not part of the territory of the gmina.,LOST
2hop__128342_375952,elaborate,0,3,The city is not part of the territory of the gmina.,LOST
2hop__128342_375952,elaborate,0,1,Shire of Mirani is a place.,LOST
2hop__128342_375952,elaborate,0,2,Shire of Mirani is a place.,LOST
2hop__128342_375952,elaborate,0,3,Shire of Mirani is a place.,LOST
2hop__128342_375952,elaborate,0,1,The Shire of Mirani was a local government area.,LOST
2hop__128342_375952,elaborate,0,2,The Shire of Mirani was a local government area.,LOST
2hop__128342_375952,elaborate,0,3,The Shire of Mirani was a local government area.,LOST
2hop__128342_375952,elaborate,0,1,The Shire of Mirani was located in the North Queensland region.,LOST
2hop__128342_375952,elaborate,0,2,The Shire of Mirani was located in the North Queensland region.,LOST
2hop__128342_375952,elaborate,0,3,The Shire of Mirani was located in the North Queensland region.,LOST
2hop__128342_375952,elaborate,0,1,"The Shire of Mirani was located in Queensland, Australia.",LOST
2hop__128342_375952,elaborate,0,2,"The Shire of Mirani was located in Queensland, Australia.",LOST
2hop__128342_375952,elaborate,0,3,"The Shire of Mirani was located in Queensland, Australia.",LOST
2hop__128342_375952,elaborate,0,1,"The shire, administered from the town of Mirani, covered an area of .",LOST
2hop__128342_375952,elaborate,0,2,"The shire, administered from the town of Mirani, covered an area of .",LOST
2hop__128342_375952,elaborate,0,3,"The shire, administered from the town of Mirani, covered an area of .",LOST
2hop__128342_375952,elaborate,0,1,The shire existed as a local government entity from 1916 until 2008.,LOST
2hop__128342_375952,elaborate,0,2,The shire existed as a local government entity from 1916 until 2008.,LOST
2hop__128342_375952,elaborate,0,3,The shire existed as a local government entity from 1916 until 2008.,LOST
2hop__128342_375952,elaborate,0,1,The shire amalgamated with the City of Mackay and the Shire of Sarina to form the Mackay Region.,LOST
2hop__128342_375952,elaborate,0,2,The shire amalgamated with the City of Mackay and the Shire of Sarina to form the Mackay Region.,LOST
2hop__128342_375952,elaborate,0,3,The shire amalgamated with the City of Mackay and the Shire of Sarina to form the Mackay Region.,LOST
