match_type,bleurt_answer,question,gold_answer,predicted_answer,answer_f1,qid,instruction_type,group,step,run,correct
bleurt_high,0.770717203617096,"When was ""Slavs"" used in the national anthem of the country whose military having the Air Defense Artillery was unprepared for the invasion of the country conquered by the Pact?",1943–1992,1943 to 1992,0.0,4hop2__5206_14670_8987_8529,paraphrase,style,2,2,
bleurt_high,0.770717203617096,"When was ""Slavs"" used in the national anthem of the country whose military having the Air Defense Artillery was unprepared for the invasion of the country conquered by the Pact?",1943–1992,1943 to 1992,0.0,4hop2__5206_14670_8987_8529,paraphrase,style,3,2,
bleurt_high,0.7631728053092957,How many students attend the university that Edith Humphrey was educated?,"nearly 25,000","Approximately 34,000",0.0,2hop__810884_22402,paraphrase,style,3,0,
bleurt_high,0.7528595328330994,How long did the pact last between Kravchuk and the person who signed the decree suspending the Communist Party of the Russian SFSR?,10-year,10 years,0.0,2hop__5658_25002,formality,style,3,0,
bleurt_high,0.7528595328330994,How long did the pact last between Kravchuk and the person who signed the decree suspending the Communist Party of the Russian SFSR?,10-year,10 years,0.0,2hop__5658_25002,formality,style,1,2,
bleurt_high,0.7528595328330994,How long did the pact last between Kravchuk and the person who signed the decree suspending the Communist Party of the Russian SFSR?,10-year,10 years,0.0,2hop__5658_25002,formality,style,2,2,
bleurt_high,0.7528595328330994,How long did the pact last between Kravchuk and the person who signed the decree suspending the Communist Party of the Russian SFSR?,10-year,10 years,0.0,2hop__5658_25002,formality,style,3,2,
bleurt_high,0.7215084433555603,"According to QS World University Rankings, what is the ranking of the place that employed Said Ashour?",551-600,401–500,0.0,2hop__403580_37168,shorten,content,1,1,
bleurt_high,0.7215084433555603,"According to QS World University Rankings, what is the ranking of the place that employed Said Ashour?",551-600,401–500,0.0,2hop__403580_37168,shorten,content,2,1,
bleurt_high,0.7215084433555603,"According to QS World University Rankings, what is the ranking of the place that employed Said Ashour?",551-600,401–500,0.0,2hop__403580_37168,paraphrase,style,3,1,
bleurt_high,0.7122475504875183,What is the name of the child of the Italian navigator who sailed for England and explored the east coast of the continent Francisco Vázquez' birthplace is located?,Sebastian Cabot,Sebastião Cabral,0.0,4hop1__271272_508773_85832_745702,formality,style,3,0,
bleurt_high,0.6807260513305664,How many students attend where Andre Dreiding is employed?,"nearly 25,000","Approximately 57,000",0.0,2hop__632870_22402,formality,style,2,0,
bleurt_high,0.6807260513305664,How many students attend where Andre Dreiding is employed?,"nearly 25,000","Approximately 57,000",0.0,2hop__632870_22402,formality,style,3,0,
bleurt_high,0.669244110584259,"When was ""Slavs"" used in the national anthem of the country whose military having the Air Defense Artillery was unprepared for the invasion of the country conquered by the Pact?",1943–1992,1939–92,0.0,4hop2__5206_14670_8987_8529,shorten,content,3,0,
bleurt_high,0.6670801639556885,At the end of which year did tribes from the place where the Celts are said to have migrated from invade the Roman empire?,406,409,0.0,2hop__47712_25719,elaborate,content,3,0,
bleurt_high,0.6670801639556885,At the end of which year did tribes from the place where the Celts are said to have migrated from invade the Roman empire?,406,409,0.0,2hop__47712_25719,elaborate,content,2,2,
bleurt_high,0.6670801639556885,At the end of which year did tribes from the place where the Celts are said to have migrated from invade the Roman empire?,406,409,0.0,2hop__47712_25719,elaborate,content,3,2,
bleurt_high,0.6670801639556885,At the end of which year did tribes from the place where the Celts are said to have migrated from invade the Roman empire?,406,409,0.0,2hop__47712_25719,formality,style,2,2,
bleurt_high,0.6670801639556885,At the end of which year did tribes from the place where the Celts are said to have migrated from invade the Roman empire?,406,409,0.0,2hop__47712_25719,formality,style,3,2,
bleurt_high,0.6670801639556885,At the end of which year did tribes from the area where Linear Pottery culture was found invade the Roman Empire?,406,409,0.0,2hop__576118_25719,elaborate,content,1,1,
bleurt_high,0.6670801639556885,At the end of which year did tribes from the area where Linear Pottery culture was found invade the Roman Empire?,406,409,0.0,2hop__576118_25719,elaborate,content,1,2,
bleurt_high,0.6670801639556885,At the end of which year did tribes from the area where Linear Pottery culture was found invade the Roman Empire?,406,409,0.0,2hop__576118_25719,paraphrase,style,2,1,
bleurt_high,0.6670801639556885,At the end of which year did tribes from the area where Linear Pottery culture was found invade the Roman Empire?,406,409,0.0,2hop__576118_25719,paraphrase,style,3,1,
bleurt_high,0.6576969623565674,What percentage did the Dow Jones fall in the historical era where the book takes place?,54.7%,50.9%,0.0,2hop__2299_38663,shorten,content,2,2,
bleurt_high,0.6576969623565674,What percentage did the Dow Jones fall in the historical era where the book takes place?,54.7%,50.9%,0.0,2hop__2299_38663,shorten,content,3,2,
bleurt_high,0.6316889524459839,What is the name of the child of the Italian navigator who sailed for England and explored the east coast of the continent Francisco Vázquez' birthplace is located?,Sebastian Cabot,Giovanni Caboto,0.0,4hop1__271272_508773_85832_745702,formality,style,2,0,
bleurt_high,0.6316889524459839,Whose navigator father explored the east coast of the region where Ignacio Esparza was later born?,Sebastian Cabot,Giovanni Caboto,0.0,4hop1__455862_508773_85832_745702,paraphrase,style,1,2,
bleurt_high,0.6316889524459839,Who's the son of the Italian navigator who explored the eastern coast of the continent Hugo Casillas was born in?,Sebastian Cabot,Giovanni Caboto,0.0,4hop1__483807_508773_85832_745702,formality,style,2,2,
bleurt_high,0.6306374669075012,What was the lifespan of the person who proposed explanations for the origins of earthquakes and the formation of mountains?,980–1037,1797–1872,0.0,2hop__41158_35123,formality,style,2,0,
bleurt_high,0.6152722835540771,How many students attend the university that Edith Humphrey was educated?,"nearly 25,000","About 32,000",0.0,2hop__810884_22402,shorten,content,3,1,
bleurt_high,0.6092532277107239,What was the lifespan of the person who proposed explanations for the origins of earthquakes and the formation of mountains?,980–1037,Ibn Sina lived from 980 to 1037.,0.0,2hop__41158_35123,shorten,content,1,1,
bleurt_high,0.608047366142273,"According to QS World University Rankings, what is the ranking of the place that employed Said Ashour?",551-600,401-500,0.0,2hop__403580_37168,shorten,content,1,0,
bleurt_high,0.608047366142273,"According to QS World University Rankings, what is the ranking of the place that employed Said Ashour?",551-600,401-500,0.0,2hop__403580_37168,shorten,content,2,0,
bleurt_high,0.608047366142273,"According to QS World University Rankings, what is the ranking of the place that employed Said Ashour?",551-600,401-500,0.0,2hop__403580_37168,shorten,content,3,0,
bleurt_high,0.5753670334815979,"According to QS World University Rankings, what is the ranking of the place that employed Said Ashour?",551-600,401-500th,0.0,2hop__403580_37168,paraphrase,style,1,1,
bleurt_high,0.5689845085144043,What is the name of the famous bridge in the birthplace of Bajazet's composer?,Rialto Bridge,Royal Albert Viaduct,0.0,3hop1__280834_547811_80702,paraphrase,style,1,2,
bleurt_high,0.5616011619567871,How long had Anhua Gao's birthplace been the capitol city of Yaxing Coach's headquarters location?,about 400 years,approximately four centuries,0.0,3hop2__326964_265410_7713,formality,style,3,2,
bleurt_high,0.5616011619567871,How long was the place where the Yongle Emperor greeted the person to whom the edict was addressed the capitol of the area where Guangling District was located?,about 400 years,approximately four centuries,0.0,4hop3__857_846_613770_7713,formality,style,2,0,
bleurt_high,0.5616011619567871,How long was the place where the Yongle Emperor greeted the person to whom the edict was addressed the capitol of the area where Guangling District was located?,about 400 years,approximately four centuries,0.0,4hop3__857_846_613770_7713,formality,style,3,0,
bleurt_high,0.5616011619567871,How long was the place where the Yongle Emperor greeted the person to whom the edict was addressed the capitol of the area where Guangling District was located?,about 400 years,approximately four centuries,0.0,4hop3__857_846_613770_7713,formality,style,2,1,
bleurt_high,0.5616011619567871,How long was the place where the Yongle Emperor greeted the person to whom the edict was addressed the capitol of the area where Guangling District was located?,about 400 years,approximately four centuries,0.0,4hop3__857_846_613770_7713,formality,style,3,1,
bleurt_high,0.5616011619567871,How long was the place where the Yongle Emperor greeted the person to whom the edict was addressed the capitol of the area where Guangling District was located?,about 400 years,approximately four centuries,0.0,4hop3__857_846_613770_7713,formality,style,1,2,
bleurt_high,0.5616011619567871,How long was the place where the Yongle Emperor greeted the person to whom the edict was addressed the capitol of the area where Guangling District was located?,about 400 years,approximately four centuries,0.0,4hop3__857_846_613770_7713,paraphrase,style,2,2,
bleurt_high,0.5547559261322021,"When do hurricanes occur in the ocean that borders the state where Williamsburg, Main Street Station and another share a track?",usually in the summer or fall,"Year-round, but most frequently from June to November",0.0,4hop1__39871_314549_131976_56103,formality,style,1,2,
bleurt_high,0.5478922128677368,"By 1931, what percentage of the world's Jews were the group of Jews that represented the bulk of modern Jewry?",92 percent,70-74%,0.0,2hop__21103_16254,elaborate,content,1,2,
bleurt_high,0.5478922128677368,"By 1931, what percentage of the world's Jews were the group of Jews that represented the bulk of modern Jewry?",92 percent,70-74%,0.0,2hop__21103_16254,elaborate,content,2,2,
bleurt_high,0.5478922128677368,"By 1931, what percentage of the world's Jews were the group of Jews that represented the bulk of modern Jewry?",92 percent,70-74%,0.0,2hop__21103_16254,elaborate,content,3,2,
bleurt_high,0.5449533462524414,Where does the employer of Hasan Hanafi rank according to QS World University Rankings?,551-600,Within 701+,0.0,2hop__703767_37168,paraphrase,style,2,0,
bleurt_high,0.542410671710968,What county was Ye Rongguang born in?,Yongjia County,"Wenzhou, Zhejiang Province",0.0,2hop__144658_599630,formality,style,2,2,
bleurt_high,0.542410671710968,What county was Ye Rongguang born in?,Yongjia County,"Wenzhou, Zhejiang Province",0.0,2hop__144658_599630,formality,style,3,2,
bleurt_high,0.5423486828804016,What is the Sarah performer's birth date?,11 September 1962,16 August 1958,0.0,2hop__711639_110949,elaborate,content,1,2,
bleurt_high,0.5393426418304443,What was the lifespan of the person who proposed explanations for the origins of earthquakes and the formation of mountains?,980–1037,1900–1974,0.0,2hop__41158_35123,elaborate,content,2,2,
bleurt_high,0.5375600457191467,How long was the place where the Yongle Emperor greeted the person to whom the edict was addressed the capitol of the area where Guangling District was located?,about 400 years,roughly four centuries,0.0,4hop3__857_846_613770_7713,elaborate,content,1,2,
bleurt_high,0.5360447764396667,Who is the sibling of Chiang Hsiao-wen?,Chiang Hsiao-wu,Hsiao-chang,0.0,2hop__681463_402641,shorten,content,1,2,
bleurt_high,0.5360447764396667,Who is the sibling of Chiang Hsiao-wen?,Chiang Hsiao-wu,Hsiao-chang,0.0,2hop__681463_402641,shorten,content,2,2,
bleurt_high,0.5360447764396667,Who is the sibling of Chiang Hsiao-wen?,Chiang Hsiao-wu,Hsiao-chang,0.0,2hop__681463_402641,shorten,content,3,2,
bleurt_high,0.5360447764396667,Who is the sibling of Chiang Hsiao-wen?,Chiang Hsiao-wu,Hsiao-chang,0.0,2hop__681463_402641,paraphrase,style,1,2,
bleurt_high,0.5254907608032227,How long was the city where the Yongle emperor greeted the person the Ming court thought the representatives were sent by the capitol of Yaxing Coach's headquarters location?,about 400 years,Approximately four centuries,0.0,4hop3__862_846_326964_7713,formality,style,1,2,
bleurt_high,0.5239774584770203,When was the first governor general of India impeached?,1786,1788,0.0,2hop__75714_21969,elaborate,content,2,0,
bleurt_high,0.5239774584770203,When was the first governor general of India impeached?,1786,1788,0.0,2hop__75714_21969,elaborate,content,3,0,
bleurt_high,0.5239774584770203,When was the first governor general of India impeached?,1786,1788,0.0,2hop__75714_21969,elaborate,content,1,1,
bleurt_high,0.5239774584770203,When was the first governor general of India impeached?,1786,1788,0.0,2hop__75714_21969,elaborate,content,2,1,
bleurt_high,0.5239774584770203,When was the first governor general of India impeached?,1786,1788,0.0,2hop__75714_21969,elaborate,content,1,2,
bleurt_high,0.5239774584770203,When was the first governor general of India impeached?,1786,1788,0.0,2hop__75714_21969,elaborate,content,2,2,
bleurt_high,0.5239774584770203,When was the first governor general of India impeached?,1786,1788,0.0,2hop__75714_21969,shorten,content,1,1,
bleurt_high,0.5239774584770203,When was the first governor general of India impeached?,1786,1788,0.0,2hop__75714_21969,shorten,content,2,1,
bleurt_high,0.5239774584770203,When was the first governor general of India impeached?,1786,1788,0.0,2hop__75714_21969,shorten,content,3,1,
bleurt_high,0.5239774584770203,When was the first governor general of India impeached?,1786,1788,0.0,2hop__75714_21969,formality,style,2,0,
bleurt_high,0.5239774584770203,When was the first governor general of India impeached?,1786,1788,0.0,2hop__75714_21969,formality,style,2,2,
bleurt_high,0.5239774584770203,When was the first governor general of India impeached?,1786,1788,0.0,2hop__75714_21969,paraphrase,style,2,0,
bleurt_high,0.5239774584770203,When was the first governor general of India impeached?,1786,1788,0.0,2hop__75714_21969,paraphrase,style,3,0,
bleurt_high,0.5239774584770203,When was the first governor general of India impeached?,1786,1788,0.0,2hop__75714_21969,paraphrase,style,1,2,
bleurt_high,0.5239774584770203,When was the first governor general of India impeached?,1786,1788,0.0,2hop__75714_21969,paraphrase,style,2,2,
bleurt_high,0.5239774584770203,When was the 1st governor general of India impeached?,1786,1788,0.0,2hop__84847_21969,formality,style,1,0,
bleurt_high,0.5239774584770203,When was the 1st governor general of India impeached?,1786,1788,0.0,2hop__84847_21969,formality,style,2,0,
bleurt_high,0.5239774584770203,When was the 1st governor general of India impeached?,1786,1788,0.0,2hop__84847_21969,paraphrase,style,3,0,
bleurt_high,0.5191977620124817,Who is the sibling of Chiang Hsiao-wen?,Chiang Hsiao-wu,Bo Yikao,0.0,2hop__681463_402641,elaborate,content,3,0,
bleurt_high,0.5191977620124817,Who is the sibling of Chiang Hsiao-wen?,Chiang Hsiao-wu,Bo Yikao,0.0,2hop__681463_402641,elaborate,content,2,1,
bleurt_high,0.5191977620124817,Who is the sibling of Chiang Hsiao-wen?,Chiang Hsiao-wu,Bo Yikao,0.0,2hop__681463_402641,elaborate,content,3,1,
bleurt_high,0.5191977620124817,Who is the sibling of Chiang Hsiao-wen?,Chiang Hsiao-wu,Bo Yikao,0.0,2hop__681463_402641,formality,style,2,0,
bleurt_high,0.5191977620124817,Who is the sibling of Chiang Hsiao-wen?,Chiang Hsiao-wu,Bo Yikao,0.0,2hop__681463_402641,formality,style,3,0,
bleurt_high,0.5191977620124817,Who is the sibling of Chiang Hsiao-wen?,Chiang Hsiao-wu,Bo Yikao,0.0,2hop__681463_402641,paraphrase,style,1,1,
bleurt_high,0.5002421736717224,"When did the maker of Acura Legend, the company that makes Daihatsu Charmant, and Nissan open US assembly plants?",1981,1980s,0.0,3hop2__132957_132968_40768,formality,style,2,2,
bleurt_high,0.5002421736717224,"When did the company that built VTEC, the owner of Scion, and Nissan open US Assembly plants?",1981,1980s,0.0,3hop2__222979_132628_40768,elaborate,content,2,0,
bleurt_high,0.5002421736717224,"When did the company that built VTEC, the owner of Scion, and Nissan open US Assembly plants?",1981,1980s,0.0,3hop2__222979_132628_40768,elaborate,content,3,0,
bleurt_high,0.5002421736717224,"When did the company that built VTEC, the owner of Scion, and Nissan open US Assembly plants?",1981,1980s,0.0,3hop2__222979_132628_40768,elaborate,content,1,1,
bleurt_high,0.5002421736717224,"When did the company that built VTEC, the owner of Scion, and Nissan open US Assembly plants?",1981,1980s,0.0,3hop2__222979_132628_40768,elaborate,content,2,1,
bleurt_high,0.5002421736717224,"When did the company that built VTEC, the owner of Scion, and Nissan open US Assembly plants?",1981,1980s,0.0,3hop2__222979_132628_40768,elaborate,content,1,2,
bleurt_high,0.5002421736717224,"When did the company that built VTEC, the owner of Scion, and Nissan open US Assembly plants?",1981,1980s,0.0,3hop2__222979_132628_40768,shorten,content,1,1,
bleurt_high,0.5002421736717224,"When did the company that built VTEC, the owner of Scion, and Nissan open US Assembly plants?",1981,1980s,0.0,3hop2__222979_132628_40768,shorten,content,2,1,
bleurt_high,0.5002421736717224,"When did the company that built VTEC, the owner of Scion, and Nissan open US Assembly plants?",1981,1980s,0.0,3hop2__222979_132628_40768,shorten,content,3,2,
bleurt_high,0.5002421736717224,"When did the company that built VTEC, the owner of Scion, and Nissan open US Assembly plants?",1981,1980s,0.0,3hop2__222979_132628_40768,formality,style,1,1,
bleurt_high,0.5002421736717224,"When did the company that built VTEC, the owner of Scion, and Nissan open US Assembly plants?",1981,1980s,0.0,3hop2__222979_132628_40768,formality,style,2,1,
bleurt_high,0.5002421736717224,"When did the company that built VTEC, the owner of Scion, and Nissan open US Assembly plants?",1981,1980s,0.0,3hop2__222979_132628_40768,formality,style,3,1,
bleurt_high,0.5002421736717224,"When did the team that John Surtees is a member of, the owner of Scion, and Nissan open US assembly plants?",1981,1980s,0.0,3hop2__222979_380281_40768,elaborate,content,3,0,
bleurt_high,0.5002421736717224,"When did the team that John Surtees is a member of, the owner of Scion, and Nissan open US assembly plants?",1981,1980s,0.0,3hop2__222979_380281_40768,shorten,content,1,2,
bleurt_high,0.5002421736717224,"When did the team that John Surtees is a member of, the owner of Scion, and Nissan open US assembly plants?",1981,1980s,0.0,3hop2__222979_380281_40768,formality,style,3,0,
bleurt_high,0.5002421736717224,"When did the team that John Surtees is a member of, the owner of Scion, and Nissan open US assembly plants?",1981,1980s,0.0,3hop2__222979_380281_40768,paraphrase,style,1,0,
bleurt_high,0.5002421736717224,"When did the team that John Surtees is a member of, the owner of Scion, and Nissan open US assembly plants?",1981,1980s,0.0,3hop2__222979_380281_40768,paraphrase,style,3,0,
bleurt_high,0.5002421736717224,"When did the team that John Surtees is a member of, the owner of Scion, and Nissan open US assembly plants?",1981,1980s,0.0,3hop2__222979_380281_40768,paraphrase,style,3,2,
bleurt_mid,0.4991741180419922,When did the birthplace of Ah Via Musicom's performer become the capital of the state Knowles is from?,1839,1837,0.0,4hop3__324979_836463_161616_77103,formality,style,3,0,
bleurt_mid,0.4921152591705322,How long was the place where the Yongle Emperor greeted the person to whom the edict was addressed the capitol of the area where Guangling District was located?,about 400 years,For centuries,0.0,4hop3__857_846_613770_7713,elaborate,content,1,0,
bleurt_mid,0.4921152591705322,How long was the place where the Yongle Emperor greeted the person to whom the edict was addressed the capitol of the area where Guangling District was located?,about 400 years,For centuries,0.0,4hop3__857_846_613770_7713,shorten,content,3,0,
bleurt_mid,0.4871853590011596,"Widely practiced in the region having the second largest rain-forest in the world, how long ago did this religion arrive in Zhejiang?","1,400 years",Approximately four centuries ago,0.0,3hop1__19768_19788_10117,formality,style,2,2,
bleurt_mid,0.4860754013061523,How long had the city considered to be a place that is popular with tourists been the capital city of the location of the Yaxing Coach headquarters?,about 400 years,Madurai has not been the capital of the location of Yaxing Coach headquarters. The context does not mention Madurai as a capital or Yaxing Coach headquarters.,0.0,3hop2__326964_7855_7713,paraphrase,style,1,1,
bleurt_mid,0.4771780967712402,What was the lifespan of the person who proposed explanations for the origins of earthquakes and the formation of mountains?,980–1037,1724–1800,0.0,2hop__41158_35123,elaborate,content,3,0,
bleurt_mid,0.4771780967712402,What was the lifespan of the person who proposed explanations for the origins of earthquakes and the formation of mountains?,980–1037,1724–1800,0.0,2hop__41158_35123,shorten,content,3,1,
bleurt_mid,0.4729158878326416,What is the body of water that St. Matthew Island located in named after?,Vitus Bering,"There is no body of water named after St. Matthew Island in the provided context. The context discusses San Andreas Lake and the San Andreas Fault, but it does not mention St. Matthew Island or a body of water named after it.",0.0,2hop__864101_135373,elaborate,content,1,0,
bleurt_mid,0.4696128964424133,In what region of the country where Sa Thay is located is John Phan's birthplace?,South Central Coast,Southeast region,0.0,3hop2__831456_223623_162182,shorten,content,3,0,
bleurt_mid,0.4673755764961242,What is the capital of the county that Pine Springs is located in?,Van Horn,"I don't have information about the county that Pine Springs is the capital of. Based on the provided context, Pine Springs is described as an unincorporated community in Culberson County, Texas, and it does not state that it is a county capital. The context does not mention the capital of Culberson",0.0,2hop__341305_332933,elaborate,content,1,0,
bleurt_mid,0.4632478952407837,"When was ""Slavs"" used in the national anthem of the country whose military having the Air Defense Artillery was unprepared for the invasion of the country conquered by the Pact?",1943–1992,1939–45,0.0,4hop2__5206_14670_8987_8529,shorten,content,1,0,
bleurt_mid,0.4632478952407837,"When was ""Slavs"" used in the national anthem of the country whose military having the Air Defense Artillery was unprepared for the invasion of the country conquered by the Pact?",1943–1992,1939–45,0.0,4hop2__5206_14670_8987_8529,shorten,content,2,0,
bleurt_mid,0.4568044543266296,"When did the company that built VTEC, the owner of Scion, and Nissan open US Assembly plants?",1981,Honda opened its U.S. assembly plant in 1982. Nissan opened its U.S. assembly plant in 1986.,0.0,3hop2__222979_132628_40768,elaborate,content,3,1,
bleurt_mid,0.4560859203338623,When was John's eldest son crowned?,1216,1220,0.0,2hop__14092_8311,elaborate,content,1,0,
bleurt_mid,0.4560859203338623,When was John's eldest son crowned?,1216,1220,0.0,2hop__14092_8311,elaborate,content,2,0,
bleurt_mid,0.4560859203338623,When was John's eldest son crowned?,1216,1220,0.0,2hop__14092_8311,elaborate,content,1,1,
bleurt_mid,0.4560859203338623,When was John's eldest son crowned?,1216,1220,0.0,2hop__14092_8311,elaborate,content,2,1,
bleurt_mid,0.4560859203338623,When was John's eldest son crowned?,1216,1220,0.0,2hop__14092_8311,shorten,content,1,0,
bleurt_mid,0.4560859203338623,When was John's eldest son crowned?,1216,1220,0.0,2hop__14092_8311,shorten,content,2,0,
bleurt_mid,0.4560859203338623,When was John's eldest son crowned?,1216,1220,0.0,2hop__14092_8311,shorten,content,1,1,
bleurt_mid,0.4560859203338623,When was John's eldest son crowned?,1216,1220,0.0,2hop__14092_8311,shorten,content,1,2,
bleurt_mid,0.4560859203338623,When was John's eldest son crowned?,1216,1220,0.0,2hop__14092_8311,shorten,content,2,2,
bleurt_mid,0.4560859203338623,When was John's eldest son crowned?,1216,1220,0.0,2hop__14092_8311,shorten,content,3,2,
bleurt_mid,0.4560859203338623,When was John's eldest son crowned?,1216,1220,0.0,2hop__14092_8311,formality,style,1,0,
bleurt_mid,0.4560859203338623,When was John's eldest son crowned?,1216,1220,0.0,2hop__14092_8311,formality,style,2,0,
bleurt_mid,0.4560859203338623,When was John's eldest son crowned?,1216,1220,0.0,2hop__14092_8311,formality,style,3,0,
bleurt_mid,0.4560859203338623,When was John's eldest son crowned?,1216,1220,0.0,2hop__14092_8311,formality,style,1,1,
bleurt_mid,0.4560859203338623,When was John's eldest son crowned?,1216,1220,0.0,2hop__14092_8311,paraphrase,style,2,0,
bleurt_mid,0.4560859203338623,When was John's eldest son crowned?,1216,1220,0.0,2hop__14092_8311,paraphrase,style,3,0,
bleurt_mid,0.4550380110740661,"What is the average winter daytime temperature in the region containing Richmond, in the state where WUSH operates?",upper 40s–lower 50s °F,below 20 °C,0.0,3hop1__131102_39743_24526,elaborate,content,1,0,
bleurt_mid,0.4550380110740661,"What is the average winter daytime temperature in the region containing Richmond, in the state where WUSH operates?",upper 40s–lower 50s °F,below 20 °C,0.0,3hop1__131102_39743_24526,elaborate,content,2,0,
bleurt_mid,0.4550380110740661,"What is the average winter daytime temperature in the region containing Richmond, in the state where WXBX is located?",upper 40s–lower 50s °F,below 20 °C,0.0,3hop1__131829_39743_24526,elaborate,content,1,1,
bleurt_mid,0.4550380110740661,"What is the average winter daytime temperature in the region containing Richmond, in the state where WXBX is located?",upper 40s–lower 50s °F,below 20 °C,0.0,3hop1__131829_39743_24526,shorten,content,2,0,
bleurt_mid,0.4550380110740661,"What is the average winter daytime temperature in the region containing Richmond, in the state where WXBX is located?",upper 40s–lower 50s °F,below 20 °C,0.0,3hop1__131829_39743_24526,shorten,content,3,0,
bleurt_mid,0.4550380110740661,"What is the average winter daytime temperature in the region containing Richmond, in the state where WXBX is located?",upper 40s–lower 50s °F,below 20 °C,0.0,3hop1__131829_39743_24526,formality,style,2,0,
bleurt_mid,0.4550380110740661,"What is the average winter daytime temperature in the region containing Richmond, in the state where WXBX is located?",upper 40s–lower 50s °F,below 20 °C,0.0,3hop1__131829_39743_24526,formality,style,3,0,
bleurt_mid,0.4550380110740661,"What is the average winter daytime temperature in the region containing Richmond, in the state where WXBX is located?",upper 40s–lower 50s °F,below 20 °C,0.0,3hop1__131829_39743_24526,formality,style,2,1,
bleurt_mid,0.4550380110740661,"What is the average winter daytime temperature in the region containing Richmond, in the state where WXBX is located?",upper 40s–lower 50s °F,below 20 °C,0.0,3hop1__131829_39743_24526,formality,style,3,1,
bleurt_mid,0.4550380110740661,"What is the average winter daytime temperature in the region containing Richmond, in the state where WXBX is located?",upper 40s–lower 50s °F,below 20 °C,0.0,3hop1__131829_39743_24526,paraphrase,style,1,2,
bleurt_mid,0.4550380110740661,"What is the average winter daytime temperature in the region containing Richmond, in the state where WXBX is located?",upper 40s–lower 50s °F,below 20 °C,0.0,3hop1__131829_39743_24526,paraphrase,style,3,2,
bleurt_mid,0.4545769691467285,Where do greyhound buses leave from in the location of the headquarters of the production company of Miss Spider's Sunny Patch Kids?,Toronto Coach Terminal,Atlanta,0.0,3hop1__540585_568433_47686,elaborate,content,2,2,
