qid,n_hop,instruction_type,group,run,step,answer_f1,max_f1_in_chain,question,gold_answer,predicted_answer
2hop__141456_6455,2,shorten,content,1,1,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,shorten,content,1,2,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,shorten,content,1,3,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__144658_599630,2,elaborate,content,1,1,1.0,1.0,What county was Ye Rongguang born in?,Yongjia County,Yongjia County
2hop__144658_599630,2,elaborate,content,1,3,1.0,1.0,What county was Ye Rongguang born in?,Yongjia County,Yongjia County
2hop__144658_599630,2,elaborate,content,2,1,1.0,1.0,What county was Ye Rongguang born in?,Yongjia County,Yongjia County
2hop__144658_599630,2,elaborate,content,2,2,1.0,1.0,What county was Ye Rongguang born in?,Yongjia County,Yongjia County
2hop__144658_599630,2,elaborate,content,2,3,1.0,1.0,What county was Ye Rongguang born in?,Yongjia County,Yongjia County
2hop__144658_599630,2,paraphrase,style,0,1,1.0,1.0,What county was Ye Rongguang born in?,Yongjia County,Yongjia County
2hop__144658_599630,2,paraphrase,style,0,2,1.0,1.0,What county was Ye Rongguang born in?,Yongjia County,Yongjia County
2hop__144658_599630,2,paraphrase,style,0,3,1.0,1.0,What county was Ye Rongguang born in?,Yongjia County,Yongjia County
2hop__144658_599630,2,paraphrase,style,1,1,1.0,1.0,What county was Ye Rongguang born in?,Yongjia County,Yongjia County
2hop__144658_599630,2,paraphrase,style,1,2,1.0,1.0,What county was Ye Rongguang born in?,Yongjia County,Yongjia County
2hop__159903_419949,2,formality,style,0,2,1.0,1.0,What is the capital of the country it is about?,Aden,Aden
2hop__159903_419949,2,formality,style,0,3,1.0,1.0,What is the capital of the country it is about?,Aden,Aden
2hop__170914_152093,2,elaborate,content,0,2,1.0,1.0,"What label is responsible for the performer of ""Friend Like That""?",Fair Trade Services,Fair Trade Services
2hop__242045_2684,2,elaborate,content,0,1,1.0,1.0,What law was passed by Maria Shriver's husband?,"""Donda West Law""",Donda West Law
2hop__242045_2684,2,elaborate,content,0,3,1.0,1.0,What law was passed by Maria Shriver's husband?,"""Donda West Law""",Donda West Law
2hop__242045_2684,2,elaborate,content,2,1,1.0,1.0,What law was passed by Maria Shriver's husband?,"""Donda West Law""",Donda West Law
2hop__29893_29898,2,elaborate,content,2,1,1.0,1.0,Which affiliate left the company that owns and operates most of the CBC television stations due to an agreement with CHBC?,CFJC-TV in Kamloops,CFJC-TV in Kamloops
2hop__398344_85513,2,shorten,content,2,1,1.0,1.0,When is the next episode of the series that Steven the Sword Fighter is a part of being released?,TBD,TBD
2hop__403580_37168,2,paraphrase,style,0,1,1.0,1.0,"According to QS World University Rankings, what is the ranking of the place that employed Said Ashour?",551-600,551-600
2hop__403580_37168,2,paraphrase,style,0,2,1.0,1.0,"According to QS World University Rankings, what is the ranking of the place that employed Said Ashour?",551-600,551-600
2hop__403580_37168,2,paraphrase,style,1,2,1.0,1.0,"According to QS World University Rankings, what is the ranking of the place that employed Said Ashour?",551-600,551-600
2hop__43283_86694,2,elaborate,content,0,3,1.0,1.0,Who has the most wins in the league that wins the All Star Game more often?,New York Yankees,New York Yankees
2hop__43283_86694,2,paraphrase,style,0,2,1.0,1.0,Who has the most wins in the league that wins the All Star Game more often?,New York Yankees,New York Yankees
2hop__43283_86694,2,paraphrase,style,0,3,1.0,1.0,Who has the most wins in the league that wins the All Star Game more often?,New York Yankees,New York Yankees
2hop__442516_595885,2,elaborate,content,1,1,1.0,1.0,Which country has a body of water that was inspiration for the name of the Mara Region?,Tanzania,Tanzania
2hop__442516_595885,2,elaborate,content,2,1,1.0,1.0,Which country has a body of water that was inspiration for the name of the Mara Region?,Tanzania,Tanzania
2hop__442516_595885,2,shorten,content,1,2,1.0,1.0,Which country has a body of water that was inspiration for the name of the Mara Region?,Tanzania,Tanzania
2hop__442516_595885,2,shorten,content,1,3,1.0,1.0,Which country has a body of water that was inspiration for the name of the Mara Region?,Tanzania,Tanzania
2hop__442516_595885,2,shorten,content,2,1,1.0,1.0,Which country has a body of water that was inspiration for the name of the Mara Region?,Tanzania,Tanzania
2hop__442516_595885,2,shorten,content,2,2,1.0,1.0,Which country has a body of water that was inspiration for the name of the Mara Region?,Tanzania,Tanzania
2hop__442516_595885,2,shorten,content,2,3,1.0,1.0,Which country has a body of water that was inspiration for the name of the Mara Region?,Tanzania,Tanzania
2hop__47712_25719,2,elaborate,content,1,1,1.0,1.0,At the end of which year did tribes from the place where the Celts are said to have migrated from invade the Roman empire?,406,406
2hop__47712_25719,2,elaborate,content,1,2,1.0,1.0,At the end of which year did tribes from the place where the Celts are said to have migrated from invade the Roman empire?,406,406
2hop__47712_25719,2,paraphrase,style,2,1,1.0,1.0,At the end of which year did tribes from the place where the Celts are said to have migrated from invade the Roman empire?,406,406
2hop__47712_25719,2,paraphrase,style,2,2,1.0,1.0,At the end of which year did tribes from the place where the Celts are said to have migrated from invade the Roman empire?,406,406
2hop__47712_25719,2,paraphrase,style,2,3,1.0,1.0,At the end of which year did tribes from the place where the Celts are said to have migrated from invade the Roman empire?,406,406
2hop__47712_25719,2,shorten,content,0,1,1.0,1.0,At the end of which year did tribes from the place where the Celts are said to have migrated from invade the Roman empire?,406,406
2hop__47712_25719,2,shorten,content,0,2,1.0,1.0,At the end of which year did tribes from the place where the Celts are said to have migrated from invade the Roman empire?,406,406
2hop__575797_91104,2,elaborate,content,0,1,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,elaborate,content,0,2,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,elaborate,content,0,3,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,elaborate,content,1,2,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,elaborate,content,1,3,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,elaborate,content,2,1,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,elaborate,content,2,2,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,elaborate,content,2,3,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,formality,style,0,1,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,formality,style,0,2,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,formality,style,0,3,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,formality,style,1,1,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,formality,style,1,2,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,formality,style,1,3,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,formality,style,2,1,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,formality,style,2,2,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,formality,style,2,3,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,paraphrase,style,0,1,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,paraphrase,style,0,2,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,paraphrase,style,0,3,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,paraphrase,style,1,1,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,paraphrase,style,1,2,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,paraphrase,style,1,3,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,shorten,content,0,1,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,shorten,content,0,2,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,shorten,content,0,3,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,shorten,content,2,1,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,shorten,content,2,2,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__575797_91104,2,shorten,content,2,3,1.0,1.0,What is the experimental satellite that was the forerunner to communication satellite of the operator of INSAT-4CR called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
2hop__58168_38663,2,formality,style,1,3,1.0,1.0,What was the percentage that the Dow Jones fell when the US had the highest unemployment rate?,54.7%,54.7%
2hop__632870_22402,2,shorten,content,2,1,1.0,1.0,How many students attend where Andre Dreiding is employed?,"nearly 25,000",University of Zurich
2hop__681463_402641,2,elaborate,content,0,1,1.0,1.0,Who is the sibling of Chiang Hsiao-wen?,Chiang Hsiao-wu,Chiang Hsiao-wu
2hop__681463_402641,2,formality,style,1,2,1.0,1.0,Who is the sibling of Chiang Hsiao-wen?,Chiang Hsiao-wu,Chiang Hsiao-wu
2hop__691455_64006,2,elaborate,content,0,1,1.0,1.0,By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,30% to 65%
2hop__691455_64006,2,elaborate,content,0,2,1.0,1.0,By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,30% to 65%
2hop__691455_64006,2,elaborate,content,1,1,1.0,1.0,By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,30% to 65%
2hop__691455_64006,2,elaborate,content,1,2,1.0,1.0,By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,30% to 65%
2hop__691455_64006,2,elaborate,content,1,3,1.0,1.0,By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,30% to 65%
2hop__691455_64006,2,elaborate,content,2,3,1.0,1.0,By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,30% to 65%
2hop__691455_64006,2,formality,style,0,1,1.0,1.0,By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,30% to 65%
2hop__691455_64006,2,paraphrase,style,2,1,1.0,1.0,By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,30% to 65%
2hop__691455_64006,2,paraphrase,style,2,3,1.0,1.0,By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,30% to 65%
2hop__711639_110949,2,elaborate,content,0,3,1.0,1.0,What is the Sarah performer's birth date?,11 September 1962,11 September 1962
2hop__711639_110949,2,paraphrase,style,0,2,1.0,1.0,What is the Sarah performer's birth date?,11 September 1962,"September 11, 1962"
2hop__711639_110949,2,paraphrase,style,0,3,1.0,1.0,What is the Sarah performer's birth date?,11 September 1962,"September 11, 1962"
2hop__711639_110949,2,paraphrase,style,1,1,1.0,1.0,What is the Sarah performer's birth date?,11 September 1962,11 September 1962
2hop__711639_110949,2,paraphrase,style,1,2,1.0,1.0,What is the Sarah performer's birth date?,11 September 1962,11 September 1962
2hop__711639_110949,2,paraphrase,style,1,3,1.0,1.0,What is the Sarah performer's birth date?,11 September 1962,11 September 1962
2hop__75207_46837,2,shorten,content,0,1,1.0,1.0,When does the winter season begin in the place where fuser and alberto meet the indigenous couple who were traveling for work?,June,June
2hop__82910_75184,2,elaborate,content,1,1,1.0,1.0,Who played the girlfriend of Alex P. Keaton's actor on Family Ties in Back to the Future?,Claudia Wells,Claudia Wells
2hop__82910_75184,2,elaborate,content,1,2,1.0,1.0,Who played the girlfriend of Alex P. Keaton's actor on Family Ties in Back to the Future?,Claudia Wells,Claudia Wells
2hop__82910_75184,2,formality,style,1,3,1.0,1.0,Who played the girlfriend of Alex P. Keaton's actor on Family Ties in Back to the Future?,Claudia Wells,Claudia Wells
2hop__82910_75184,2,formality,style,2,3,1.0,1.0,Who played the girlfriend of Alex P. Keaton's actor on Family Ties in Back to the Future?,Claudia Wells,Claudia Wells
2hop__82910_75184,2,paraphrase,style,0,3,1.0,1.0,Who played the girlfriend of Alex P. Keaton's actor on Family Ties in Back to the Future?,Claudia Wells,Claudia Wells
2hop__82910_75184,2,paraphrase,style,1,1,1.0,1.0,Who played the girlfriend of Alex P. Keaton's actor on Family Ties in Back to the Future?,Claudia Wells,Claudia Wells
2hop__82910_75184,2,paraphrase,style,2,2,1.0,1.0,Who played the girlfriend of Alex P. Keaton's actor on Family Ties in Back to the Future?,Claudia Wells,Claudia Wells
2hop__82910_75184,2,shorten,content,0,1,1.0,1.0,Who played the girlfriend of Alex P. Keaton's actor on Family Ties in Back to the Future?,Claudia Wells,Claudia Wells
2hop__82910_75184,2,shorten,content,0,3,1.0,1.0,Who played the girlfriend of Alex P. Keaton's actor on Family Ties in Back to the Future?,Claudia Wells,Claudia Wells
2hop__87053_319330,2,elaborate,content,2,1,1.0,1.0,Who was the child of the 28th U.S. president?,Jessie Woodrow Wilson,Jessie Woodrow Wilson Sayre
2hop__87053_319330,2,elaborate,content,2,2,1.0,1.0,Who was the child of the 28th U.S. president?,Jessie Woodrow Wilson,Jessie Woodrow Wilson Sayre
2hop__87053_319330,2,elaborate,content,2,3,1.0,1.0,Who was the child of the 28th U.S. president?,Jessie Woodrow Wilson,Jessie Woodrow Wilson Sayre
2hop__87053_319330,2,formality,style,0,1,1.0,1.0,Who was the child of the 28th U.S. president?,Jessie Woodrow Wilson,Jessie Woodrow Wilson Sayre
2hop__87053_319330,2,formality,style,2,2,1.0,1.0,Who was the child of the 28th U.S. president?,Jessie Woodrow Wilson,Jessie Woodrow Wilson Sayre
2hop__87053_319330,2,formality,style,2,3,1.0,1.0,Who was the child of the 28th U.S. president?,Jessie Woodrow Wilson,Jessie Woodrow Wilson Sayre
2hop__87053_319330,2,paraphrase,style,0,1,1.0,1.0,Who was the child of the 28th U.S. president?,Jessie Woodrow Wilson,Jessie Woodrow Wilson Sayre
2hop__87053_319330,2,paraphrase,style,0,2,1.0,1.0,Who was the child of the 28th U.S. president?,Jessie Woodrow Wilson,Jessie Woodrow Wilson Sayre
2hop__87053_319330,2,paraphrase,style,0,3,1.0,1.0,Who was the child of the 28th U.S. president?,Jessie Woodrow Wilson,Jessie Woodrow Wilson Sayre
2hop__87053_319330,2,paraphrase,style,1,1,1.0,1.0,Who was the child of the 28th U.S. president?,Jessie Woodrow Wilson,Jessie Woodrow Wilson Sayre
2hop__87053_319330,2,shorten,content,2,1,1.0,1.0,Who was the child of the 28th U.S. president?,Jessie Woodrow Wilson,Jessie Woodrow Wilson Sayre
2hop__88406_83289,2,elaborate,content,0,1,1.0,1.0,"Who stars alongside the songwriter of ""No Tears Left to Cry"" in the music video for ""one last time""?",Matt Bennett,Matt Bennett
2hop__88406_83289,2,elaborate,content,0,2,1.0,1.0,"Who stars alongside the songwriter of ""No Tears Left to Cry"" in the music video for ""one last time""?",Matt Bennett,Matt Bennett
2hop__88406_83289,2,formality,style,0,1,1.0,1.0,"Who stars alongside the songwriter of ""No Tears Left to Cry"" in the music video for ""one last time""?",Matt Bennett,Matt Bennett
2hop__88406_83289,2,formality,style,0,2,1.0,1.0,"Who stars alongside the songwriter of ""No Tears Left to Cry"" in the music video for ""one last time""?",Matt Bennett,Matt Bennett
2hop__88406_83289,2,formality,style,0,3,1.0,1.0,"Who stars alongside the songwriter of ""No Tears Left to Cry"" in the music video for ""one last time""?",Matt Bennett,Matt Bennett
2hop__88406_83289,2,paraphrase,style,0,2,1.0,1.0,"Who stars alongside the songwriter of ""No Tears Left to Cry"" in the music video for ""one last time""?",Matt Bennett,Matt Bennett
2hop__88406_83289,2,paraphrase,style,0,3,1.0,1.0,"Who stars alongside the songwriter of ""No Tears Left to Cry"" in the music video for ""one last time""?",Matt Bennett,Matt Bennett
3hop1__106239_650651_7262,3,formality,style,0,1,1.0,1.0,Who was a prominent figure at the radio division of the broadcast company that created the version of The Biggest Loser set in the country where Kelupis originated?,Walter Sabo,Walter Sabo
3hop1__208108_547811_41132,3,elaborate,content,0,1,1.0,1.0,How many times did plague occur in the birthplace of La Silvia's composer?,22,22
3hop1__208108_547811_41132,3,elaborate,content,0,2,1.0,1.0,How many times did plague occur in the birthplace of La Silvia's composer?,22,22
3hop1__222497_309482_89834,3,shorten,content,1,1,1.0,1.0,When did the merchant of the city where the composer of Al gran sole carico d'amore takes place?,16th - century,16th century
3hop1__305566_568433_47686,3,formality,style,0,1,1.0,1.0,Where do greyhound buses leave from the in the city where the headquarters of the production company which produced A Cosmic Christmas is located?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__305566_568433_47686,3,formality,style,0,2,1.0,1.0,Where do greyhound buses leave from the in the city where the headquarters of the production company which produced A Cosmic Christmas is located?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__305566_568433_47686,3,formality,style,0,3,1.0,1.0,Where do greyhound buses leave from the in the city where the headquarters of the production company which produced A Cosmic Christmas is located?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__315504_629431_124169,3,paraphrase,style,2,1,1.0,1.0,When was the end date for the position of Governor of the place where the author of Mater et Magistra died?,1952,1952
3hop1__315504_629431_124169,3,paraphrase,style,2,2,1.0,1.0,When was the end date for the position of Governor of the place where the author of Mater et Magistra died?,1952,1952
3hop1__506062_792411_51423,3,elaborate,content,0,3,1.0,1.0,What is the name of the castle in the place of birth of the performer of When I Was a Boy?,Casa Loma,Casa Loma
3hop1__506062_792411_51423,3,formality,style,0,1,1.0,1.0,What is the name of the castle in the place of birth of the performer of When I Was a Boy?,Casa Loma,Casa Loma
3hop1__506062_792411_51423,3,formality,style,0,2,1.0,1.0,What is the name of the castle in the place of birth of the performer of When I Was a Boy?,Casa Loma,Casa Loma
3hop1__506062_792411_51423,3,formality,style,0,3,1.0,1.0,What is the name of the castle in the place of birth of the performer of When I Was a Boy?,Casa Loma,Casa Loma
3hop1__506062_792411_51423,3,paraphrase,style,2,1,1.0,1.0,What is the name of the castle in the place of birth of the performer of When I Was a Boy?,Casa Loma,Casa Loma
3hop1__506062_792411_51423,3,paraphrase,style,2,2,1.0,1.0,What is the name of the castle in the place of birth of the performer of When I Was a Boy?,Casa Loma,Casa Loma
3hop1__506062_792411_51423,3,paraphrase,style,2,3,1.0,1.0,What is the name of the castle in the place of birth of the performer of When I Was a Boy?,Casa Loma,Casa Loma
3hop1__540585_568433_47686,3,formality,style,0,1,1.0,1.0,Where do greyhound buses leave from in the location of the headquarters of the production company of Miss Spider's Sunny Patch Kids?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__540585_568433_47686,3,formality,style,0,2,1.0,1.0,Where do greyhound buses leave from in the location of the headquarters of the production company of Miss Spider's Sunny Patch Kids?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__540585_568433_47686,3,formality,style,1,2,1.0,1.0,Where do greyhound buses leave from in the location of the headquarters of the production company of Miss Spider's Sunny Patch Kids?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__540585_568433_47686,3,formality,style,1,3,1.0,1.0,Where do greyhound buses leave from in the location of the headquarters of the production company of Miss Spider's Sunny Patch Kids?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__540585_568433_47686,3,paraphrase,style,2,2,1.0,1.0,Where do greyhound buses leave from in the location of the headquarters of the production company of Miss Spider's Sunny Patch Kids?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__540585_568433_47686,3,paraphrase,style,2,3,1.0,1.0,Where do greyhound buses leave from in the location of the headquarters of the production company of Miss Spider's Sunny Patch Kids?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__540585_568433_47686,3,shorten,content,0,1,1.0,1.0,Where do greyhound buses leave from in the location of the headquarters of the production company of Miss Spider's Sunny Patch Kids?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__572324_568433_47686,3,elaborate,content,1,1,1.0,1.0,Where do greyhound buses leave from in the city where the headquarters of Care Bears: Journey to Joke-a-lot's production company is located?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__572324_568433_47686,3,elaborate,content,1,2,1.0,1.0,Where do greyhound buses leave from in the city where the headquarters of Care Bears: Journey to Joke-a-lot's production company is located?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__572324_568433_47686,3,elaborate,content,1,3,1.0,1.0,Where do greyhound buses leave from in the city where the headquarters of Care Bears: Journey to Joke-a-lot's production company is located?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__572324_568433_47686,3,paraphrase,style,1,1,1.0,1.0,Where do greyhound buses leave from in the city where the headquarters of Care Bears: Journey to Joke-a-lot's production company is located?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__572324_568433_47686,3,shorten,content,0,1,1.0,1.0,Where do greyhound buses leave from in the city where the headquarters of Care Bears: Journey to Joke-a-lot's production company is located?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__572324_568433_47686,3,shorten,content,0,2,1.0,1.0,Where do greyhound buses leave from in the city where the headquarters of Care Bears: Journey to Joke-a-lot's production company is located?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__572324_568433_47686,3,shorten,content,1,1,1.0,1.0,Where do greyhound buses leave from in the city where the headquarters of Care Bears: Journey to Joke-a-lot's production company is located?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__572324_568433_47686,3,shorten,content,1,2,1.0,1.0,Where do greyhound buses leave from in the city where the headquarters of Care Bears: Journey to Joke-a-lot's production company is located?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__572324_568433_47686,3,shorten,content,1,3,1.0,1.0,Where do greyhound buses leave from in the city where the headquarters of Care Bears: Journey to Joke-a-lot's production company is located?,Toronto Coach Terminal,Toronto Coach Terminal
3hop1__572324_568433_47686,3,shorten,content,2,1,1.0,1.0,Where do greyhound buses leave from in the city where the headquarters of Care Bears: Journey to Joke-a-lot's production company is located?,Toronto Coach Terminal,Toronto Coach Terminal
